,name,e,PThrottle,PSupply,PGrowth,SimID,OrgID,T,pH
0,Methanobacterium_alcaliphilum,0.8984375,2.928101419865234e-13,3.2591041890673907e-13,3.309993155388551e-14,6331_220420,Methanobacterium_alcaliphilum133_220420,310.0,8.6
1,Methanobacterium_arcticum,0.93359375,4.448162322092826e-14,4.7645588052542406e-14,3.1639512844703653e-15,6339_220420,Methanobacterium_arcticum137_220420,310.0,7.0
2,Methanobacterium_bryantii,0.828125,7.564451718163524e-14,9.134432263442746e-14,1.56997753377894e-14,6345_230420,Methanobacterium_bryantii107_230420,310.0,6.95
3,Methanobacterium_congolense,0.9775390625,5.855483587284256e-13,5.990025168210867e-13,1.3451664308455272e-14,6355_230420,Methanobacterium_congolense151_230420,312.5,7.2
4,Methanobacterium_espanolae,0.91015625,3.1328621673089475e-13,3.442114655927427e-13,3.09228302520755e-14,6363_230420,Methanobacterium_espanolae143_230420,308.0,5.9
5,Methanobacterium_ferruginis,0.9873046875,9.57300903301501e-14,9.696104104656153e-14,1.2308765356835762e-15,6373_230420,Methanobacterium_ferruginis165_230420,313.0,6.75
6,Methanobacterium_kanagiense,0.966796875,6.580340899613161e-14,6.806332405256441e-14,2.2598910068398634e-15,6382_230420,Methanobacterium_kanagiense141_230420,313.0,8.0
7,Methanobacterium_movens,0.95703125,4.9132955974658284e-14,5.133892542658172e-14,2.2059407584145737e-15,6390_230420,Methanobacterium_movens148_230420,309.5,7.5
8,Methanobacterium_palustre,0.9609375,1.0266863515685798e-13,1.068421569112018e-13,4.17350035276419e-15,6397_230420,Methanobacterium_palustre129_230420,308.0,7.0
9,Methanobacterium_petrolearium,0.970703125,2.209300104574948e-14,2.2759791821778135e-14,6.667826448037719e-16,6406_230420,Methanobacterium_petrolearium146_230420,308.0,6.5
10,Methanobacterium_thermaggregans,0.98974609375,2.8410173778445546e-12,2.8704507103234573e-12,2.942568706751768e-14,6417_230420,Methanobacterium_thermaggregans169_230420,338.0,7.25
11,Methanobacterium_veterum,0.94921875,4.451886371521949e-14,4.690053132138349e-14,2.3816454533297393e-15,6425_230420,Methanobacterium_veterum125_230420,301.0,7.1
12,Methanobrevibacter_acididurans,0.99755859375,1.23613177845733e-13,1.239157064258743e-13,3.0231322416982565e-16,6436_230420,Methanobrevibacter_acididurans157_230420,308.0,6.0
