,E,PS,PT,PG,SimID
0,0.1,2.4265282909479362e-15,2.3033061511732364e-15,1.2322187583295709e-16,195_240420
1,0.5,2.4265282922108288e-15,1.8198962191581215e-15,6.066318654533144e-16,197_240420
2,1.0,2.4265282880353304e-15,1.2132641440176652e-15,1.213264003530321e-15,198_240420
3,1.5,2.4265282921980464e-15,6.066320730495116e-16,1.819896149945542e-15,200_240420
4,2.0,2.4265282928176348e-15,1.8957252287637772e-17,2.407571038372244e-15,207_240420
5,2.5,2.4265281544987916e-15,0.0,2.4241584976931177e-15,217_240420
