,E,PS,PT,PG,SimID
0,0.1,2.4798643602316254e-14,2.4362729945244288e-14,4.359034437117723e-16,1984_240420
1,0.5,2.47986436754103e-14,2.2667510234554726e-14,2.1311240049790947e-15,1991_240420
2,1.0,2.4798643675863785e-14,2.0536376794074698e-14,4.262258333421835e-15,1997_240420
3,1.5,2.4798643578499565e-14,1.8211503877960617e-14,6.5871320484095356e-15,2003_240420
4,2.0,2.4798643675863756e-14,1.6274109912285592e-14,8.524526989400326e-15,2008_240420
5,2.5,2.479864367552129e-14,1.4142976471195736e-14,1.0655661317047116e-14,2015_240420
6,3.0,2.4798643578784697e-14,1.1624364177555327e-14,1.3174274517025104e-14,2020_240420
7,3.5,2.479864354939135e-14,9.299491331021757e-15,1.5499148299983676e-14,2023_240420
8,4.0,2.479864367586373e-14,7.749576148707416e-15,1.7049064301357335e-14,2027_240420
9,4.5,2.4798643514768833e-14,4.649745659019157e-15,2.0148895890064995e-14,2031_240420
10,5.0,2.479864367586373e-14,3.4873092669183374e-15,2.1311332957335852e-14,2037_240420
11,5.5,2.4798643595819337e-14,7.749576123693543e-16,2.4023685658368696e-14,2042_240420
12,6.0,2.479864377110982e-14,0.0,2.4774426335564487e-14,2052_240420
