,E,PS,PT,PG,SimID
0,0.1,1.0142104277600755e-14,9.86478111376011e-15,2.7732027490886274e-16,1121_240420
1,0.5,1.0142104237518376e-14,8.696062031778451e-15,1.4460396247036366e-15,1130_240420
2,1.0,1.0142104237161195e-14,7.250019825783198e-15,2.8920822592792015e-15,1138_240420
3,1.5,1.0142104241829349e-14,5.8237864201129465e-15,4.318316095661847e-15,1146_240420
4,2.0,1.0142104237518352e-14,4.357935414558667e-15,5.784167529501854e-15,1153_240420
5,2.5,1.0142104271914718e-14,3.1694075849733495e-15,6.972695756993629e-15,1157_240420
6,3.0,1.0142104241814148e-14,1.5054685983942877e-15,8.63663519722663e-15,1164_240420
7,3.5,1.0142104243265936e-14,7.923518940051512e-17,1.0062869030392909e-14,1171_240420
8,4.0,1.0142104356206773e-14,0.0,1.0132199954597645e-14,1181_240420
