,E,PS,PT,PG,SimID
0,0.1,1.8797737859070015e-10,1.8779380693192018e-10,1.7903533679447133e-13,21220_250420
1,0.5,1.8797247672326908e-10,1.8752503247325642e-10,4.3802410321235786e-13,21234_250420
2,1.0,1.8797246940296783e-10,1.8707758093779256e-10,8.854835098724106e-13,21247_250420
3,1.5,1.8797248840402873e-10,1.8664162850077754e-10,1.3214957320750746e-12,21259_250420
4,2.0,1.8797246474017765e-10,1.8618268785422381e-10,1.7804123010047936e-12,21271_250420
5,2.5,1.8797250271877462e-10,1.85769699952539e-10,2.1934964891045065e-12,21279_250420
6,3.0,1.879724848977222e-10,1.8531076514086969e-10,2.6524189008328815e-12,21290_250420
7,3.5,1.8797247175130272e-10,1.8485183501324398e-10,3.1113459871941986e-12,21300_250420
8,4.0,1.8797246298628028e-10,1.8439290924777201e-10,3.5702774549525926e-12,21311_250420
9,4.5,1.8797245626635014e-10,1.8393398552625277e-10,4.029210967803237e-12,21320_250420
10,5.0,1.8797250125728506e-10,1.8356689575906745e-10,4.396408144962805e-12,21327_250420
11,5.5,1.879724448729002e-10,1.83016140174103e-10,4.947080039914901e-12,21337_250420
12,6.0,1.8797248372846551e-10,1.826490442478742e-10,5.314271081704872e-12,21347_250420
13,6.5,1.879724369851163e-10,1.8209829832933142e-10,5.864952617692626e-12,21352_250420
14,7.0,1.8797246992407543e-10,1.8173119650862761e-10,6.232137742876408e-12,21361_250420
15,7.5,1.8797250096475382e-10,1.813640927277117e-10,6.599320969779416e-12,21369_250420
16,8.0,1.879724623893429e-10,1.8081335493506128e-10,7.150010673705466e-12,21379_250420
17,8.5,1.8797242762507403e-10,1.8026262102326436e-10,7.700704188773586e-12,21388_250420
18,9.0,1.879724556814712e-10,1.7989551422640797e-10,8.067884431395386e-12,21396_250420
19,9.5,1.879724784697884e-10,1.7952840228852837e-10,8.435059405937231e-12,21405_250420
20,10.0,1.8797250096446245e-10,1.7916128998175326e-10,8.802234086835907e-12,21411_250420
