,E,PS,PT,PG,SimID
0,0.1,1.1102035350621329e-13,1.0961091542459144e-13,1.4093138214310555e-15,3856_240420
1,0.5,1.1102035405111614e-13,1.0408158192292139e-13,6.938654647168633e-15,3860_240420
2,1.0,1.1102035404939123e-13,9.714280979321732e-14,1.3877434605706883e-14,3863_240420
3,1.5,1.110203540511139e-13,9.020403766653004e-14,2.0816214567692722e-14,3867_240420
4,2.0,1.1102035404858948e-13,8.326526553644211e-14,2.775499452543148e-14,3869_240420
5,2.5,1.1102035404931922e-13,7.632649340890697e-14,3.469377448642437e-14,3873_240420
6,3.0,1.1102035404924485e-13,6.938772128077803e-14,4.1632554446613175e-14,3876_240420
7,3.5,1.1102035405111333e-13,6.244894915375124e-14,4.857133440874483e-14,3880_240420
8,4.0,1.1102035369775899e-13,5.5510176848879495e-14,5.551011401565365e-14,3881_240420
9,4.5,1.110203540511132e-13,4.857140489736203e-14,6.244889432927103e-14,3885_240420
10,5.0,1.1102035404621004e-13,4.1632632767328765e-14,6.938767428463102e-14,3888_240420
11,5.5,1.1102035405111317e-13,3.469386064097286e-14,7.632645424979732e-14,3892_240420
12,6.0,1.1102035404937289e-13,2.7755088512343222e-14,8.326523420832022e-14,3894_240420
13,6.5,1.1102035405111317e-13,2.0816316384583718e-14,9.020401417032366e-14,3898_240420
14,7.0,1.1102035405111317e-13,1.3877544256389146e-14,9.714279413058684e-14,3901_240420
15,7.5,1.1102035405111317e-13,6.938772128194573e-15,1.0408157409085e-13,3905_240420
16,8.0,1.1102035430997594e-13,8.67346518046687e-16,1.1015300681494304e-13,3912_240420
17,8.5,1.1102032378328336e-13,0.0,1.1091190534640424e-13,3922_240420
