,E,PS,PT,PG,SimID
0,0.1,5.47858358681141e-11,5.4732334075274145e-11,5.219462206940016e-14,17585_250420
1,0.5,5.478559073762292e-11,5.457158452380408e-11,2.124587034434463e-13,17593_250420
2,1.0,5.4785590268474146e-11,5.4357577844501694e-11,4.2647051678165754e-13,17600_250420
3,1.5,5.4785589938451493e-11,5.4143571306360266e-11,6.404824692459819e-13,17608_250420
4,2.0,5.4785589749887304e-11,5.392956491004531e-11,8.544945631687734e-13,17614_250420
5,2.5,5.478558965559089e-11,5.371555860763013e-11,1.0685067513593356e-12,17622_250420
6,3.0,5.47855896084286e-11,5.3501552351981054e-11,1.2825189866840274e-12,17629_250420
7,3.5,5.478558960838797e-11,5.3287546142533614e-11,1.4965312691303728e-12,17637_250420
8,4.0,5.478558960835743e-11,5.307353993309626e-11,1.7105435515868128e-12,17642_250420
9,4.5,5.47855896083337e-11,5.285953372366572e-11,1.9245558340500595e-12,17650_250420
10,5.0,5.4785589605937114e-11,5.2645527511955196e-11,2.1385681141404574e-12,17657_250420
11,5.5,5.478558960829921e-11,5.2431521304817606e-11,2.3525803989895277e-12,17665_250420
12,6.0,5.478558960828633e-11,5.221751509539791e-11,2.5665926814636283e-12,17671_250420
13,6.5,5.478558960827531e-11,5.200350888598008e-11,2.7806049639395836e-12,17679_250420
14,7.0,5.4785589608265944e-11,5.17895026765639e-11,2.994617246417198e-12,17686_250420
15,7.5,5.4785589603498017e-11,5.157549646266805e-11,3.2086295241362493e-12,17694_250420
16,8.0,5.47855896082507e-11,5.136149025773503e-11,3.4226418113759103e-12,17698_250420
17,8.5,5.4785589608244444e-11,5.114748404832196e-11,3.636654093856633e-12,17706_250420
18,9.0,5.4785589608238854e-11,5.093347783890956e-11,3.850666376338023e-12,17713_250420
19,9.5,5.4785589605829975e-11,5.071947162727228e-11,4.06467865641612e-12,17721_250420
20,10.0,5.478558960822931e-11,5.0505465420086396e-11,4.278690941302436e-12,17727_250420
