,E,PS,PT,PG,SimID
0,0.1,3.8429186496545444e-11,3.8391657994107414e-11,3.6838459316020074e-14,16416_250420
1,0.5,3.842905797921414e-11,3.8278944471482836e-11,1.492974728856828e-13,16424_250420
2,1.0,3.84290577363022e-11,3.812883072273734e-11,2.994139378416998e-13,16431_250420
3,1.5,3.842905766273723e-11,3.797871714325203e-11,4.495305721446822e-13,16439_250420
4,2.0,3.84290576626625e-11,3.78286036366834e-11,5.996472799379069e-13,16445_250420
5,2.5,3.842905758920231e-11,3.7678490058163205e-11,7.497639143456722e-13,16453_250420
6,3.0,3.842905758917243e-11,3.75283765519262e-11,8.99880622183745e-13,16460_250420
7,3.5,3.8429057589151057e-11,3.7378263045697706e-11,1.0499973300303285e-12,16468_250420
8,4.0,3.842905756466321e-11,3.722814951576748e-11,1.2001140134104348e-12,16473_250420
9,4.5,3.842905756465072e-11,3.707803600964347e-11,1.3502307212659042e-12,16481_250420
10,5.0,3.84290575646408e-11,3.6927922503522014e-11,1.5003474291239317e-12,16488_250420
11,5.5,3.8429057540160865e-11,3.677780897398208e-11,1.650464112511953e-12,16496_250420
12,6.0,3.842905753808779e-11,3.6627695465989924e-11,1.8005808183068318e-12,16502_250420
13,6.5,3.8429057540148257e-11,3.64775819619376e-11,1.950697528235259e-12,16510_250420
14,7.0,3.842905754014335e-11,3.632746845591676e-11,2.100814236098307e-12,16517_250420
15,7.5,3.8429057540139074e-11,3.617735494989655e-11,2.2509309439619815e-12,16525_250420
16,8.0,3.8429057540135345e-11,3.6027241443876885e-11,2.4010476518262112e-12,16529_250420
17,8.5,3.8429057380922574e-11,3.5877127789220686e-11,2.551164200481394e-12,16537_250420
18,9.0,3.8429057540129135e-11,3.5727014431838806e-11,2.701281067555908e-12,16544_250420
19,9.5,3.8429057540126485e-11,3.557690092582022e-11,2.8513977754212143e-12,16552_250420
20,10.0,3.842905754012413e-11,3.5426787419801936e-11,3.001514483286818e-12,16558_250420
