,E,PS,PT,PG,SimID
0,0.1,1.1854879648104773e-11,1.1831725586292068e-11,1.1255677032305326e-14,13669_250420
1,0.5,1.185501230488292e-11,1.1750817860797035e-11,1.0400709409254325e-13,13679_250420
2,1.0,1.1855012293692222e-11,1.1646623405717164e-11,2.0820318821919975e-13,13688_250420
3,1.5,1.1855014498658954e-11,1.155400827115394e-11,3.00824153468023e-13,13697_250420
4,2.0,1.1855012282524042e-11,1.1438234506966556e-11,4.1659538768572414e-13,13705_250420
5,2.5,1.1855013605519211e-11,1.1345618489657057e-11,5.092154709629859e-13,13713_250420
6,3.0,1.1855014493071554e-11,1.1253002038345264e-11,6.018351187974208e-13,13721_250420
7,3.5,1.1855013225213882e-11,1.113722922134351e-11,7.176073012923628e-13,13730_250420
8,4.0,1.1855012265794241e-11,1.1021456715855584e-11,8.333797922253368e-13,13737_250420
9,4.5,1.1855013030518506e-11,1.0928840137509247e-11,9.259993172316933e-13,13743_250420
10,5.0,1.185501359993759e-11,1.0836223368692953e-11,1.0186186469328694e-12,13750_250420
11,5.5,1.1855012896542597e-11,1.0720451115428169e-11,1.1343913938904902e-12,13759_250420
12,6.0,1.1855014493064235e-11,1.06509895836124e-11,1.203857060623697e-12,13766_250420
13,6.5,1.1855014832284718e-11,1.0558372585003577e-11,1.2964761601262725e-12,13772_250420
14,7.0,1.185501322531498e-11,1.0419445217561995e-11,1.4354026935796723e-12,13780_250420
15,7.5,1.185501359993464e-11,1.0326828253068066e-11,1.5280218284814237e-12,13788_250420
16,8.0,1.1855012265788616e-11,1.0187901165912091e-11,1.6669486347585374e-12,13794_250420
17,8.5,1.1855012667693913e-11,1.0095284224833099e-11,1.7595677969459249e-12,13801_250420
18,9.0,1.1855013030513533e-11,1.0002667244495793e-11,1.8521869200476356e-12,13806_250420
19,9.5,1.1855013287386236e-11,9.910050169924431e-12,1.9448059372024312e-12,13813_250420
20,10.0,1.1855013599933157e-11,9.817433137444645e-12,2.037425010031444e-12,13819_250420
