,E,PS,PT,PG,SimID
0,0.1,5.950257448547255e-13,5.88343326821689e-13,6.680420202862355e-15,1958_240420
1,2.0,5.950257398880627e-13,4.602152206946734e-13,1.3480895260482748e-13,1965_240420
2,4.0,5.950257382516547e-13,3.2540470060637367e-13,2.696199290614885e-13,1971_240420
3,6.0,5.950257469051636e-13,1.9524282320325683e-13,3.9978226139106385e-13,1977_240420
4,8.0,5.950257398657742e-13,5.578366311241633e-14,5.392418868617458e-13,1982_240420
5,10.0,5.950252929936136e-13,0.0,5.944442111914883e-13,1992_240420
