,E,PS,PT,PG,SimID
0,0.1,1.4802713683170975e-13,1.4658155932358758e-13,1.4454101711503141e-15,4138_240420
1,0.5,1.4802713873482307e-13,1.4108836660662824e-13,6.938612876138646e-15,4144_240420
2,1.0,1.480271387324998e-13,1.3414959447632795e-13,1.3877392834078565e-14,4149_240420
3,1.5,1.480271387314851e-13,1.2721082234737e-13,2.0816172793327014e-14,4155_240420
4,2.0,1.4802713873481856e-13,1.2027205022204008e-13,2.775495275692365e-14,4159_240420
5,2.5,1.4802713873186274e-13,1.1333327809158241e-13,3.4693732714231e-14,4165_240420
6,3.0,1.4802713873124536e-13,1.063945059630826e-13,4.1632512673876783e-14,4170_240420
7,3.5,1.4802713657528555e-13,9.714280837753114e-14,5.088421713160119e-14,4175_240420
8,4.0,1.4802713873120906e-13,9.251696170700566e-14,5.5510072594366815e-14,4178_240420
9,4.5,1.480271370540459e-13,8.326526459290082e-14,6.476177753088787e-14,4182_240420
10,5.0,1.4802713873481777e-13,7.863941745287195e-14,6.938763251850187e-14,4187_240420
11,5.5,1.4802713734935257e-13,6.938772063250902e-14,7.863933774672088e-14,4192_240420
12,6.0,1.4802713873481762e-13,6.476187319648271e-14,8.326519243902806e-14,4196_240420
13,6.5,1.4802713824215584e-13,5.782310087584212e-14,9.020397190662945e-14,4202_240420
14,7.0,1.4802713657528502e-13,4.625848017977657e-14,1.0176860350686389e-13,4206_240420
15,7.5,1.4802713773607503e-13,4.16326324882711e-14,1.0639445797449602e-13,4211_240420
16,8.0,1.4802713873481757e-13,3.700678468370439e-14,1.1102031228008068e-13,4213_240420
17,8.5,1.4802713783045668e-13,2.7755088343210627e-14,1.20272017989404e-13,4217_240420
18,9.0,1.4802713705638193e-13,1.850339213204774e-14,1.2952372382901348e-13,4220_240420
19,9.5,1.4802713632968995e-13,9.251696020605622e-15,1.3877542971600572e-13,4224_240420
20,10.0,1.480271387321188e-13,9.251696170757426e-15,1.3877543211843458e-13,4228_240420
