,E,PS,PT,PG,SimID
0,0.1,2.1420891211978115e-12,2.1355519839871247e-12,6.526336117037181e-15,9315_250420
1,0.5,2.1420890461646374e-12,2.108618904818315e-12,3.345940261237024e-14,9321_250420
2,1.0,2.142089046251175e-12,2.075148763555826e-12,6.69297145013249e-14,9326_250420
3,1.5,2.14208904617724e-12,2.0416786221376815e-12,1.0040002622980667e-13,9332_250420
4,2.0,2.142089046250676e-12,2.0082084808600087e-12,1.3387033810565972e-13,9336_250420
5,2.5,2.1420890462505774e-12,1.974738339512251e-12,1.673406499079781e-13,9342_250420
6,3.0,2.142089046250512e-12,1.9412681981645262e-12,2.0081096171032934e-13,9347_250420
7,3.5,2.14208904619058e-12,1.9077980567634856e-12,2.3428127345281437e-13,9353_250420
8,4.0,2.142089039277617e-12,1.8743279093679147e-12,2.677515783422681e-13,9356_250420
9,4.5,2.142089046186548e-12,1.840857774066565e-12,3.012218970536163e-13,9362_250420
10,5.0,2.1420890462503794e-12,1.8073876327737576e-12,3.3469220891986464e-13,9367_250420
11,5.5,2.142089046163714e-12,1.7739174913543258e-12,3.681625206356163e-13,9373_250420
12,6.0,2.1420890462503443e-12,1.7404473500784049e-12,4.016328325246634e-13,9377_250420
13,6.5,2.1420890459200335e-12,1.7069772084675267e-12,4.3510314399676976e-13,9383_250420
14,7.0,2.142089045920022e-12,1.6735070671250173e-12,4.68573455799175e-13,9388_250420
15,7.5,2.1420890459200117e-12,1.640036925782509e-12,5.020437676015816e-13,9394_250420
16,8.0,2.142089045920004e-12,1.606566784440003e-12,5.355140794039909e-13,9396_250420
17,8.5,2.142089045919996e-12,1.573096643097497e-12,5.689843912063998e-13,9402_250420
18,9.0,2.142089037907589e-12,1.5396264959960795e-12,6.024546949964097e-13,9407_250420
19,9.5,2.1420890457658564e-12,1.5061563603041178e-12,6.359250146570941e-13,9413_250420
20,10.0,2.142089045919979e-12,1.4726862190699855e-12,6.693953266136336e-13,9417_250420
