,E,PS,PT,PG,SimID
0,0.1,7.401356841279929e-14,7.25679909047368e-14,1.4454946617136835e-15,3640_240420
1,0.5,7.401356936741002e-14,6.707479723921533e-14,6.938696418199411e-15,3645_240420
2,1.0,7.401356936740927e-14,6.013602511102003e-14,1.3877476378461822e-14,3649_240420
3,1.5,7.401356936740908e-14,5.319725298282527e-14,2.0816256338724802e-14,3654_240420
4,2.0,7.401356936740895e-14,4.625848085463059e-14,2.7755036298987835e-14,3657_240420
5,2.5,7.401356936740887e-14,3.931970872643596e-14,3.469381625925093e-14,3662_240420
6,3.0,7.401356936596031e-14,3.2380936597607636e-14,4.163259621806553e-14,3666_240420
7,3.5,7.40135682876425e-14,2.312924008988828e-14,5.088430175343194e-14,3670_240420
8,4.0,7.401356936740877e-14,1.8503392341852193e-14,5.5510156140040335e-14,3672_240420
9,4.5,7.401356852819095e-14,9.251696066023869e-15,6.476186191450673e-14,3675_240420
10,5.0,7.401356936591745e-14,4.6258480853698404e-15,6.938771605907533e-14,3679_240420
11,5.5,7.401354820901547e-14,0.0,7.394126925109607e-14,3689_240420
