,E,PS,PT,PG,SimID
0,0.1,1.7933282413025443e-11,1.7898256470812502e-11,1.6853327545724343e-14,15080_250420
1,0.5,1.7933561227615483e-11,1.7784698658831567e-11,1.4848426153077896e-13,15091_250420
2,1.0,1.7933561181837867e-11,1.7635836045030013e-11,2.973499510675083e-13,15101_250420
3,1.5,1.7933558916778838e-11,1.74782146474075e-11,4.549702292824928e-13,15110_250420
4,2.0,1.793356115781938e-11,1.7338110885001157e-11,5.950813976777165e-13,15119_250420
5,2.5,1.793355704216762e-11,1.716297451301198e-11,7.702134412193071e-13,15127_250420
6,3.0,1.7933558906112473e-11,1.702287036791145e-11,9.103242325188384e-13,15135_250420
7,3.5,1.793356018691216e-11,1.6882765644710276e-11,1.0504344406732088e-12,15143_250420
8,4.0,1.7933561134875315e-11,1.6742660590762502e-11,1.1905443159910408e-12,15151_250420
9,4.5,1.7933561925081203e-11,1.660255537595408e-11,1.3306540335516077e-12,15159_250420
10,5.0,1.793355704214778e-11,1.6392391983838205e-11,1.5408125416502073e-12,15166_250420
11,5.5,1.7933558071308205e-11,1.625228700212306e-11,1.6809224981653137e-12,15171_250420
12,6.0,1.793355889467589e-11,1.611218181943537e-11,1.8210322488876776e-12,15178_250420
13,6.5,1.7933563720505948e-11,1.6042133171858838e-11,1.8910915383950767e-12,15186_250420
14,7.0,1.7933560175478056e-11,1.5831971092414223e-11,2.1012513843992017e-12,15193_250420
15,7.5,1.7933560735760417e-11,1.5691865643790364e-11,2.241360872036246e-12,15196_250420
16,8.0,1.7933561136072264e-11,1.5551760047687665e-11,2.381470199702772e-12,15203_250420
17,8.5,1.7933561593412286e-11,1.5411654494338682e-11,2.521579584397473e-12,15209_250420
18,9.0,1.793356192507044e-11,1.5271548826817795e-11,2.661688843410309e-12,15216_250420
19,9.5,1.793356225667789e-11,1.513144315407197e-11,2.801798102372439e-12,15221_250420
20,10.0,1.7933557041356344e-11,1.485122692487322e-11,3.082010741760253e-12,15227_250420
