,E,PS,PT,PG,SimID
0,0.1,9.296928894147299e-15,9.01093938226679e-15,2.859868468423514e-16,1067_240420
1,0.5,9.296928902765593e-15,7.880599890234897e-15,1.4163266891024253e-15,1075_240420
2,1.0,9.296928902765587e-15,6.464270877704197e-15,2.832656119207781e-15,1082_240420
3,1.5,9.296928868661148e-15,5.01162571826265e-15,4.285301654442175e-15,1089_240420
4,2.0,9.296928902677775e-15,3.631612852608506e-15,5.6653149793306946e-15,1095_240420
5,2.5,9.296928915931568e-15,2.324232228982892e-15,6.972696004989435e-15,1097_240420
6,3.0,9.296928895479751e-15,7.263225699593556e-16,8.570606110810335e-15,1103_240420
7,3.5,9.296928956760097e-15,0.0,9.28784992195173e-15,1113_240420
