,E,PS,PT,PG,SimID
0,0.1,4.8388554927804044e-11,4.8294046031460676e-11,4.456050850114003e-14,18506_250420
1,0.5,4.838942556313733e-11,4.808226612352757e-11,3.0534509232529656e-13,18517_250420
2,1.0,4.838942505849997e-11,4.777510618568698e-11,6.125156177226136e-13,18527_250420
3,1.5,4.838941205486555e-11,4.7444306350668956e-11,9.433021848947628e-13,18535_250420
4,2.0,4.838942489018346e-11,4.716078714883115e-11,1.2268575094754457e-12,18544_250420
5,2.5,4.83894326249058e-11,4.68772628553775e-11,1.5104077334605636e-12,18549_250420
6,3.0,4.838941191139218e-11,4.649920050860342e-11,1.8884436722973013e-12,18556_250420
7,3.5,4.8389441536525276e-11,4.6310207720502705e-11,2.077501623605581e-12,18564_250420
8,4.0,4.8389424778024556e-11,4.5932149301015493e-11,2.45554151745523e-12,18572_250420
9,4.5,4.8389411998582914e-11,4.555409488929095e-11,2.8335853903639533e-12,18580_250420
10,5.0,4.8389432456777576e-11,4.5365092928228975e-11,3.0226341747337953e-12,18584_250420
11,5.5,4.838942141488445e-11,4.498704022165039e-11,3.4006797851910355e-12,18591_250420
12,6.0,4.838941177779332e-11,4.4608988982653214e-11,3.778726800450271e-12,18597_250420
13,6.5,4.8389427692579314e-11,4.4419982452172417e-11,3.9677710414114455e-12,18605_250420
14,7.0,4.838944153643791e-11,4.423097390440028e-11,4.156813211445223e-12,18612_250420
15,7.5,4.8389432400734946e-11,4.3852923113166046e-11,4.5348607280926255e-12,18617_250420
16,8.0,4.8389424721944864e-11,4.3474873773622337e-11,4.9129097016529106e-12,18624_250420
17,8.5,4.838941771986288e-11,4.309682515675288e-11,5.290959351921281e-12,18630_250420
18,9.0,4.8389411774504804e-11,4.271877758218002e-11,5.669010058913576e-12,18637_250420
19,9.5,4.8389406166326873e-11,4.234073039553602e-11,6.04706110308601e-12,18640_250420
20,10.0,4.8389432400714376e-11,4.234075335062508e-11,6.047087337473515e-12,18643_250420
