,E,PS,PT,PG,SimID
0,0.1,7.327718366320112e-13,7.28209902590479e-13,4.559212431286635e-15,7436_240420
1,0.5,7.327718338037421e-13,7.098727139973752e-13,2.2896463989597577e-14,7441_240420
2,1.0,7.327718338002247e-13,6.869735941877106e-13,4.5795669463955795e-14,7445_240420
3,1.5,7.327718337399213e-13,6.640744743268037e-13,6.869487488152807e-14,7450_240420
4,2.0,7.327718337399017e-13,6.41175354522414e-13,9.1594080359384e-14,7453_240420
5,2.5,7.327718337398907e-13,6.182762347180328e-13,1.1449328583724868e-13,7458_240420
6,3.0,7.327718337398819e-13,5.95377114913654e-13,1.3739249131511552e-13,7462_240420
7,3.5,7.327718337153495e-13,5.724779950901168e-13,1.602916967684588e-13,7467_240420
8,4.0,7.327718337398724e-13,5.495788753049042e-13,1.8319090227085722e-13,7469_240420
9,4.5,7.327718337398688e-13,5.266797555005307e-13,2.0609010774872936e-13,7474_240420
10,5.0,7.327718337127341e-13,5.037806356775047e-13,2.2898931319947024e-13,7478_240420
11,5.5,7.327718337398643e-13,4.80881515891786e-13,2.5188851870447614e-13,7483_240420
12,6.0,7.327718337398623e-13,4.579823960874139e-13,2.747877241823497e-13,7486_240420
13,6.5,7.327718337398607e-13,4.3508327628304227e-13,2.9768692966022375e-13,7491_240420
14,7.0,7.327718337398601e-13,4.1218415647867126e-13,3.2058613513809874e-13,7495_240420
15,7.5,7.327718337398589e-13,3.892850366743001e-13,3.434853406159733e-13,7500_240420
16,8.0,7.327718337398574e-13,3.663859168699287e-13,3.663845460938473e-13,7501_240420
17,8.5,7.327718337398567e-13,3.4348679706555785e-13,3.892837515717223e-13,7506_240420
18,9.0,7.327718337398559e-13,3.20587677261187e-13,4.121829570495971e-13,7510_240420
19,9.5,7.327718337398553e-13,2.976885574568162e-13,4.350821625274722e-13,7515_240420
20,10.0,7.327718336851923e-13,2.7478943763194713e-13,4.579813679506847e-13,7518_240420
