,E,PS,PT,PG,SimID
0,0.1,8.925401397671245e-13,8.860029805403144e-13,6.535661976869403e-15,2678_240420
1,2.0,8.925401340439705e-13,7.600537078968186e-13,1.3248513686433196e-13,2685_240420
2,4.0,8.925401340439566e-13,6.27567281749657e-13,2.649717877488422e-13,2691_240420
3,6.0,8.925401262611492e-13,4.881078815490659e-13,4.0443141247606026e-13,2697_240420
4,8.0,8.925401304604931e-13,3.625944279995753e-13,5.299450859344271e-13,2702_240420
5,10.0,8.925401293919267e-13,2.2313503234798167e-13,6.69404717375886e-13,2704_240420
6,12.0,8.925401236707935e-13,8.36756365941369e-14,8.088643441647783e-13,2709_240420
7,14.0,8.925401507917492e-13,0.0,8.916685280885616e-13,2719_240420
