,E,PS,PT,PG,SimID
0,0.1,4.744413555034754e-10,4.739780338672415e-10,4.5217458581868473e-13,24001_250420
1,0.5,4.744068699822161e-10,4.734802940642821e-10,4.176890645593791e-13,24011_250420
2,1.0,4.744124728523162e-10,4.731094600789791e-10,1.2630821501172538e-12,24025_250420
3,1.5,4.744125355795816e-10,4.724724940827657e-10,1.9002271097988448e-12,24039_250420
4,2.0,4.744124218905595e-10,4.718063966238267e-10,2.5661539364845548e-12,24052_250420
5,2.5,4.744124621773924e-10,4.711694082367266e-10,3.20327645573369e-12,24062_250420
6,3.0,4.744124917703653e-10,4.705324091350364e-10,3.840388281122748e-12,24075_250420
7,3.5,4.744128350702276e-10,4.70011544119869e-10,4.361980680234678e-12,24086_250420
8,4.0,4.744123911431116e-10,4.692003409474476e-10,5.1723686852848226e-12,24098_250420
9,4.5,4.744125449941198e-10,4.686213762319845e-10,5.751688202125948e-12,24109_250420
10,5.0,4.744124369457509e-10,4.679263294093833e-10,6.446578952756541e-12,24118_250420
11,5.5,4.744123544443199e-10,4.672313080635709e-10,7.141495250324978e-12,24129_250420
12,6.0,4.744124728239285e-10,4.666523078631856e-10,7.720779295766568e-12,24141_250420
13,6.5,4.744125769960652e-10,4.660732934160563e-10,8.300049133736132e-12,24150_250420
14,7.0,4.74412818492589e-10,4.6561023689946484e-10,8.763623162926314e-12,24160_250420
15,7.5,4.744124349395935e-10,4.6468327367618387e-10,9.68990467526339e-12,24170_250420
16,8.0,4.744123757499355e-10,4.6398827569683637e-10,1.0384844284604977e-11,24181_250420
17,8.5,4.744123260294982e-10,4.632932871381818e-10,1.1079793363167068e-11,24188_250420
18,9.0,4.744125331941864e-10,4.628301959580002e-10,1.1543333060521642e-11,24198_250420
19,9.5,4.744127131332264e-10,4.6236707783882805e-10,1.2006845532227988e-11,24207_250420
20,10.0,4.7441242902038e-10,4.61440214164354e-10,1.2933226484714278e-11,24215_250420
