T,pH,a_H2O,a_CO2,a_CO2factor
0,11,0.993528,2.17E-07,2.150943396
10,10.86632713,0.993536314,2.43E-07,2.076077721
20,10.75259825,0.993548396,2.78E-07,2.00054296
30,10.64923544,0.993563685,3.28E-07,1.893286786
40,10.55281736,0.993581947,4.03E-07,1.768471084
50,10.46112591,0.993603016,5.15E-07,1.643974907
60,10.37319224,0.993626799,6.85E-07,1.531518999
70,10.28900153,0.993653275,9.43E-07,1.439111885
80,10.20903222,0.993682484,1.33E-06,1.363616129
90,10.13385835,0.993714528,1.92E-06,1.303951374
100,10.06391845,0.993749559,2.79E-06,1.256040262
110,9.999432823,0.993787779,4.10E-06,1.219395891
120,9.940409339,0.993829441,6.03E-06,1.189954871
130,9.886687524,0.993874846,8.88E-06,1.166904919
140,9.837991608,0.993924351,1.30E-05,1.149138065
150,9.793979259,0.993978376,1.91E-05,1.135915566
160,9.754281422,0.994037405,2.78E-05,1.124285228
170,9.718532672,0.994102001,4.03E-05,1.116337578
180,9.686392781,0.994172814,5.80E-05,1.111588731
190,9.657560352,0.994250592,8.32E-05,1.109400093
200,9.631778902,0.9943362,0.000118623,1.109662905
