T,pH,a_H2O,a_CO2,a_CO2factor
0,11.5,0.99353,2.32E-08,2.105358765
10,11.32925471,0.993538687,3.07E-08,1.767990459
20,11.16948161,0.9935509,4.34E-08,1.561251367
30,11.01525847,0.993566339,6.45E-08,1.412809997
40,10.86787231,0.993584763,9.99E-08,1.309510191
50,10.72885379,0.993606009,1.58E-07,1.238067657
60,10.59936394,0.993629985,2.54E-07,1.188328483
70,10.48004028,0.993656669,4.11E-07,1.1547576
80,10.37104844,0.993686107,6.62E-07,1.130373503
90,10.27219198,0.993718401,1.06E-06,1.113044607
100,10.18302145,0.993753703,1.69E-06,1.100328996
110,10.10292551,0.993792217,2.66E-06,1.092020713
120,10.03120199,0.993834196,4.15E-06,1.085843404
130,9.96711145,0.993879941,6.41E-06,1.082028243
140,9.909916597,0.993929808,9.79E-06,1.079912017
150,9.858910749,0.993984214,1.48E-05,1.080606997
160,9.813437759,0.994043641,2.21E-05,1.079959815
170,9.772905298,0.994108646,3.28E-05,1.081985285
180,9.736792624,0.994179873,4.82E-05,1.085794975
190,9.704653376,0.994258064,7.02E-05,1.090858184
200,9.676113278,0.994344071,0.000101586,1.097631376
