T,pH,a_H2O,a_CO2,a_CO2factor
0,12,0.993531,2.37E-09,2.091954023
10,11.71425591,0.993539878,5.33E-09,1.721087617
20,11.46565515,0.993552154,1.13E-08,1.49901874
30,11.24458899,0.993567667,2.29E-08,1.358860996
40,11.04749367,0.993586176,4.44E-08,1.268205241
50,10.87153953,0.993607516,8.35E-08,1.208416893
60,10.71442796,0.993631593,1.52E-07,1.167479235
70,10.57423033,0.993658387,2.71E-07,1.140698028
80,10.44927007,0.993687943,4.70E-07,1.121752248
90,10.33804417,0.993720363,7.97E-07,1.108929598
100,10.23917667,0.993755801,1.33E-06,1.100307045
110,10.15139466,0.993794461,2.17E-06,1.094666555
120,10.07351862,0.993836596,3.48E-06,1.091322351
130,10.00446031,0.993882506,5.49E-06,1.089817117
140,9.943224241,0.993932549,8.55E-06,1.089858969
150,9.888910041,0.993987139,1.31E-05,1.09207374
160,9.840714354,0.994046756,1.99E-05,1.09409842
170,9.797931491,0.994111957,2.98E-05,1.098026359
180,9.759952252,0.994183383,4.42E-05,1.103132135
190,9.726260281,0.994261769,6.49E-05,1.110126551
200,9.696425104,0.994347964,9.45144E-05,1.1183816
