T,pH,a_H2O,a_CO2
0,7,0.996679,0.007395
10,6.898,0.996681,0.007418
20,6.824,0.996685,0.007419
30,6.771,0.99669,0.00742
40,6.737,0.996696,0.007422
50,6.719,0.996703,0.007425
60,6.72,0.996711,0.007427
70,6.729,0.996719,0.007431
80,6.753,0.996729,0.007435
90,6.787,0.996739,0.007441
100,6.839,0.99675,0.007447
110,6.885,0.996763,0.007456
120,6.945,0.996776,0.007467
130,7.011,0.996791,0.007482
140,7.083,0.996807,0.007501
150,7.156,0.996824,0.007526
160,7.24,0.996844,0.00756
170,7.324,0.996866,0.007605
180,7.41,0.996889,0.007666
190,7.499,0.996916,0.007747
200,7.584,0.996946,0.007854
