,name,e,PThrottle,PSupply,PGrowth,SimID,OrgID,T,pH
0,Methanobacterium_alcaliphilum,0.94921875,6.187198343831458e-13,6.518200724365651e-13,3.309878176923981e-14,5868_220420,Methanobacterium_alcaliphilum125_220420,310.0,8.6
1,Methanobacterium_arcticum,0.966796875,9.212718328418234e-14,9.52911471545482e-14,3.163907823185802e-15,5877_220420,Methanobacterium_arcticum128_220420,310.0,7.0
2,Methanobacterium_bryantii,0.9140625,1.6698877375239472e-13,1.8268857299407287e-13,1.569966669772132e-14,5884_220420,Methanobacterium_bryantii100_220420,310.0,6.95
3,Methanobacterium_congolense,0.98876953125,1.184545839089868e-12,1.1979999399782962e-12,1.344401957068146e-14,5895_220420,Methanobacterium_congolense140_220420,312.5,7.2
4,Methanobacterium_espanolae,0.955078125,6.574926526900526e-13,6.884176649842678e-13,3.091490680036731e-14,5904_220420,Methanobacterium_espanolae134_220420,308.0,5.9
5,Methanobacterium_ferruginis,0.99365234375,1.926909821567819e-13,1.9392193191994561e-13,1.2306512279453125e-15,5915_220420,Methanobacterium_ferruginis154_220420,313.0,6.75
6,Methanobacterium_kanagiense,0.9833984375,1.3386668418503057e-13,1.3612659841655543e-13,2.259816442728615e-15,5925_220420,Methanobacterium_kanagiense131_220420,313.0,8.0
7,Methanobacterium_movens,0.978515625,1.0047182284723438e-13,1.0267779101354092e-13,2.205850937007988e-15,5934_220420,Methanobacterium_movens139_220420,309.5,7.5
8,Methanobacterium_palustre,0.98046875,2.0951074854086197e-13,2.1368426942813015e-13,4.173433686928224e-15,5942_220420,Methanobacterium_palustre121_220420,308.0,7.0
9,Methanobacterium_petrolearium,0.9853515625,4.4852776382927736e-14,4.551956691389297e-14,6.667575385077883e-16,5952_220420,Methanobacterium_petrolearium136_220420,308.0,6.5
10,Methanobacterium_thermaggregans,0.994873046875,5.711452729080366e-12,5.740885982408143e-12,2.9402524222256827e-14,5964_220420,Methanobacterium_thermaggregans157_220420,338.0,7.25
11,Methanobacterium_veterum,0.974609375,9.141934965109776e-14,9.380101607487385e-14,2.3815755474716593e-15,5973_220420,Methanobacterium_veterum116_220420,301.0,7.1
12,Methanobrevibacter_acididurans,0.998046875,2.4734650598560346e-13,2.4783055002862813e-13,2.4072869718379044e-16,5983_220420,Methanobrevibacter_acididurans145_220420,308.0,6.0
13,Methanobrevibacter_arboriphilus,0.9794921875,1.9820207362132763e-13,2.0235186778488483e-13,4.1491026413588695e-15,5993_220420,Methanobrevibacter_arboriphilus139_220420,306.5,7.75
14,Methanobrevibacter_curvatus,0.99169921875,3.9914371403836103e-14,4.024846510834876e-14,3.3403909395274067e-16,6004_220420,Methanobrevibacter_curvatus150_220420,303.0,7.1
15,Methanobrevibacter_cuticularis,0.9920654296875,5.593876027676551e-14,5.638616022976043e-14,4.473069217554526e-16,6017_220420,Methanobrevibacter_cuticularis167_220420,310.0,7.7
16,Methanobrevibacter_filiformis,0.9912109375,4.983388072924562e-14,5.027575750418475e-14,4.4178794024025223e-16,6027_220420,Methanobrevibacter_filiformis142_220420,303.0,7.1
17,Methanobrevibacter_oralis,0.99658203125,2.967646200994383e-13,2.9778243114338545e-13,1.017495578941259e-15,6038_220420,Methanobrevibacter_oralis160_220420,309.0,7.15
18,Methanocaldococcus_fervens,0.998046875,6.562116479108762e-10,6.574958194332067e-10,1.246606082528904e-12,6047_220420,Methanocaldococcus_fervens134_220420,358.0,6.5
19,Methanocaldococcus_indicus,0.9931640625,2.819680357948659e-10,2.839088187354402e-10,1.930963220975195e-12,6057_220420,Methanocaldococcus_indicus143_220420,358.0,6.5
20,Methanocaldococcus_infernus,0.992919921875,2.6977477662123136e-10,2.716984226802468e-10,1.9146733489001796e-12,6069_220420,Methanocaldococcus_infernus149_220420,358.0,6.5
21,Methanocaldococcus_jannaschii,0.9974365234375,3.806764664439736e-10,3.816548296547585e-10,9.719620539212782e-13,6082_220420,Methanocaldococcus_jannaschii316_220420,358.0,6.0
22,Methanocaldococcus_villosus,0.995849609375,1.312385949136944e-10,1.3178555645170197e-10,5.450090924982479e-13,6094_220420,Methanocaldococcus_villosus149_220420,353.0,6.5
23,Methanocaldococcus_vulcanius,0.990234375,1.304990315469962e-10,1.317860042446983e-10,1.2839279123661678e-12,6103_220420,Methanocaldococcus_vulcanius129_220420,353.0,6.5
24,Methanocella_conradii,0.998046875,1.7420961939010437e-12,1.7455053841043726e-12,1.6943415623428843e-15,6113_220420,Methanocella_conradii148_220420,325.5,6.8
25,Methanocorpusculum_labreanum,0.98046875,7.774417253887658e-13,7.929286123487013e-13,1.5484559987916576e-14,6121_220420,Methanocorpusculum_labreanum122_220420,310.0,7.0
26,Methanocorpusculum_parvum,0.990478515625,1.056782088662109e-12,1.0669409502489521e-12,1.0157997161971293e-14,6133_220420,Methanocorpusculum_parvum148_220420,310.0,7.15
27,Methanoculleus_chikugoensis,0.8359375,2.5951420369347777e-14,3.1044689787630984e-14,5.093261472339529e-15,6140_220420,Methanoculleus_chikugoensis95_220420,298.0,6.95
28,Methanoculleus_horonobensis,0.9873046875,1.3974226095978227e-12,1.4153914463186651e-12,1.7965232278452783e-14,6150_220420,Methanoculleus_horonobensis132_220420,312.5,6.75
29,Methanoculleus_hydrogenitrophicus,0.92578125,1.2541354471973724e-13,1.3546779514030688e-13,1.0053892078053786e-14,6158_220420,Methanoculleus_hydrogenitrophicus120_220420,310.0,6.6
30,Methanoculleus_palmolei,0.9296875,3.425236120825143e-13,3.684287592148053e-13,2.590497745223712e-14,6165_220420,Methanoculleus_palmolei112_220420,313.0,7.2
31,Methanofollis_liminatans,0.96484375,9.189662214706e-13,9.524508206334964e-13,3.3483751174984324e-14,6173_220420,Methanofollis_liminatans123_220420,313.0,7.0
32,Methanofollis_tationis,0.578125,2.294777806087795e-13,3.9693453943140236e-13,1.6745663490186314e-13,6179_220420,Methanofollis_tationis108_220420,311.5,7.0
33,Methanogenium_frigidum,0.59375,8.028703761220918e-15,1.3522027387319441e-14,5.493317723790374e-15,6184_220420,Methanogenium_frigidum94_220420,288.0,7.7
34,Methanolacinia_paynteri,0.995849609375,2.9251326724003147e-12,2.9373237132021794e-12,1.2176001838596085e-14,6196_220420,Methanolacinia_paynteri159_220420,313.0,7.0
35,Methanolinea_mesophila,0.98681640625,8.012503664723896e-14,8.119548493495566e-14,1.0703763884404249e-15,6207_220420,Methanolinea_mesophila135_220420,310.0,7.0
36,Methanoplanus_endosymbiosus,0.99169921875,1.3584808457884038e-12,1.369851684970286e-12,1.13579838619703e-14,6218_220420,Methanoplanus_endosymbiosus143_220420,305.0,7.0
37,Methanopyrus_kandleri,0.996826171875,1.036642454839431e-10,1.0399430553569212e-10,3.2905697452755843e-13,6230_220420,Methanopyrus_kandleri138_220420,371.0,6.5
38,Methanoregula_boonei,0.994384765625,4.044282011694759e-14,4.0671198428435385e-14,2.2832040167906264e-16,6242_220420,Methanoregula_boonei158_220420,309.0,5.1
39,Methanosarcina_soligelidi,0.125,6.244137848631393e-16,4.995310278905114e-15,4.370896344845338e-15,6245_220420,Methanosarcina_soligelidi99_220420,301.0,7.8
40,Methanosarcina_spelaei,0.0,0.0,5.040355487248553e-15,5.0354332606841594e-15,6255_220420,Methanosarcina_spelaei133_220420,306.0,6.5
41,Methanosphaerula_palustris,0.994140625,1.7943433229583016e-13,1.8049190203431247e-13,1.0564673431527269e-15,6264_220420,Methanosphaerula_palustris135_220420,303.0,5.5
42,Methanospirillum_psychrodurum,0.91796875,5.351371887876445e-13,5.829579588495192e-13,4.7819458384444106e-14,6272_220420,Methanospirillum_psychrodurum105_220420,298.0,7.0
43,Methanothermobacter_tenebrarum,0.966796875,4.786952672765077e-13,4.951353067587312e-13,1.643952165169548e-14,6281_220420,Methanothermobacter_tenebrarum138_220420,343.0,7.300000000000001
44,Methanothermobacter_thermautotrophicus,0.875,2.1711330845589044e-12,2.481294953781605e-12,3.1013295904742447e-13,6284_220420,Methanothermobacter_thermautotrophicus90_220420,340.5,7.4
45,Methanothermococcus_okinawensis,0.998046875,2.8001886487416044e-10,2.8056684699720184e-10,2.678967482018888e-13,6294_220420,Methanothermococcus_okinawensis144_220420,335.5,6.5
46,Methanothermus_fervidus,0.998046875,8.989904687609315e-12,9.007497456078218e-12,8.720055988097863e-15,6304_220420,Methanothermus_fervidus148_220420,356.0,6.5
47,Methanotorris_formicicus,0.998046875,2.8355417394438525e-10,2.8410907448047994e-10,2.708526257272678e-13,6314_220420,Methanotorris_formicicus141_220420,348.0,6.7
48,Methanocaldococcus_jannaschii,0.998046875,1.7315962847031426e-10,1.7349849271389609e-10,1.6407743603594878e-13,6324_220420,Methanocaldococcus_jannaschii327_220420,355.0,6.8
