,name,e,PThrottle,PSupply,PGrowth,SimID,OrgID,T,pH
35,Methanolinea_mesophila,0.99737548828125,4.0491048180763365e-13,4.059759704997411e-13,1.0636749907016976e-15,5256_220420,Methanolinea_mesophila112_220420,310.0,7.0
36,Methanoplanus_endosymbiosus,0.998046875,6.835388269561899e-12,6.848764763240103e-12,6.130316059767121e-15,5266_220420,Methanoplanus_endosymbiosus118_220420,305.0,7.0
37,Methanopyrus_kandleri,0.9990234375,5.194510190991061e-10,5.1995879135629e-10,4.900219762598782e-13,5276_220420,Methanopyrus_kandleri111_220420,371.0,6.5
38,Methanoregula_boonei,0.998046875,2.0295734104075298e-13,2.0335451783339633e-13,1.9682463279721741e-16,5286_220420,Methanoregula_boonei131_220420,309.0,5.1
39,Methanosarcina_soligelidi,0.828125,2.0683687735696078e-14,2.4976528586500922e-14,4.292817020771542e-15,5292_220420,Methanosarcina_soligelidi90_220420,301.0,7.8
40,Methanosarcina_spelaei,0.28125,7.087997494312088e-15,2.52017688686652e-14,1.8113762615938978e-14,5297_220420,Methanosarcina_spelaei111_220420,306.0,6.5
41,Methanosphaerula_palustris,0.998046875,9.006693386432936e-13,9.024319009498363e-13,8.481600543515878e-16,5307_220420,Methanosphaerula_palustris116_220420,303.0,5.5
42,Methanospirillum_psychrodurum,0.9833984375,2.866371605775001e-12,2.9147611959420073e-12,4.8354440791351035e-14,5317_220420,Methanospirillum_psychrodurum88_220420,298.0,7.0
43,Methanothermobacter_tenebrarum,0.993408203125,2.4593467808859763e-12,2.4756658674143423e-12,1.630583005035325e-14,5329_220420,Methanothermobacter_tenebrarum118_220420,343.0,7.300000000000001
44,Methanothermobacter_thermautotrophicus,0.974609375,1.2090825841803162e-11,1.2405817296599638e-11,3.1419032737766346e-13,5338_220420,Methanothermobacter_thermautotrophicus78_220420,340.5,7.4
45,Methanothermococcus_okinawensis,0.9990234375,1.401457761091597e-09,1.4028277100271703e-09,1.3329587823341435e-12,5348_220420,Methanothermococcus_okinawensis122_220420,335.5,6.5
46,Methanothermus_fervidus,0.9990234375,4.499352058959431e-11,4.503750252565452e-11,4.361555218093292e-14,5358_220420,Methanothermus_fervidus126_220420,356.0,6.5
47,Methanotorris_formicicus,0.9990234375,1.4191594483226578e-09,1.4205467009603143e-09,1.3555916887368065e-12,5368_220420,Methanotorris_formicicus119_220420,348.0,6.7
48,Methanocaldococcus_jannaschii,0.9990234375,8.666463504343997e-10,8.674935120672779e-10,8.214361114333757e-13,5378_220420,Methanocaldococcus_jannaschii280_220420,355.0,6.8
