,E,PS,PT,PG,SimID
0,0.1,6.167797367872791e-14,6.023239617063272e-14,1.4455087458879266e-15,3583_240420
1,0.5,6.167797367986786e-14,5.445008613925834e-14,7.227825380580507e-15,3590_240420
2,1.0,6.167797367986735e-14,4.722219859864844e-14,1.4455721172520803e-14,3596_240420
3,1.5,6.167797411779714e-14,4.047617051480437e-14,2.120175768292866e-14,3601_240420
4,2.0,6.167797367834962e-14,3.2766423516623236e-14,2.8911512754884665e-14,3606_240420
5,2.5,6.167797447284067e-14,2.6984113831867794e-14,3.469383018292836e-14,3610_240420
6,3.0,6.167797411779698e-14,1.9274366911811557e-14,4.2403585339288185e-14,3614_240420
7,3.5,6.167797388018228e-14,1.1564620102534179e-14,5.0113340613077e-14,3618_240420
8,4.0,6.167797367715464e-14,3.854873354822165e-15,5.782309592145288e-14,3622_240420
9,4.5,6.167795632944122e-14,0.0,6.161772386450838e-14,3632_240420
