,E,PS,PT,PG,SimID
0,0.1,3.8787282785192767e-14,3.814335328582921e-14,6.439071447138088e-16,2452_240420
1,0.5,3.8787282867375475e-14,3.560551356966108e-14,3.1817485058558888e-15,2460_240420
2,1.0,3.878728286737529e-14,3.2423744271946535e-14,6.363519661565969e-15,2467_240420
3,1.5,3.878728275665091e-14,2.9090462067488184e-14,9.696803618728522e-15,2469_240420
4,2.0,3.87872828673752e-14,2.606020567651771e-14,1.2727061972986396e-14,2475_240420
5,2.5,3.878728267368519e-14,2.242389779572425e-14,1.6363371671536685e-14,2481_240420
6,3.0,3.8787282756650845e-14,1.9393641378325423e-14,1.9393629998035922e-14,2482_240420
7,3.5,3.878728263743924e-14,1.5757333571459692e-14,2.3029939771064616e-14,2487_240420
8,4.0,3.878728286630082e-14,1.3333128485290906e-14,2.545414659475306e-14,2492_240420
9,4.5,3.8787282756650826e-14,9.696820689162707e-15,2.9090456377343365e-14,2494_240420
10,5.0,3.878728267368516e-14,6.0605129177633054e-15,3.2726766186617995e-14,2499_240420
11,5.5,3.878728260398811e-14,2.424205162749257e-15,3.636307600916125e-14,2503_240420
12,6.0,3.878728297053921e-14,1.2121025928293503e-15,3.757517967312577e-14,2508_240420
13,6.5,3.878728327716352e-14,0.0,3.874940504911936e-14,2518_240420
