,E,PS,PT,PG,SimID
0,0.1,6.947741684142197e-14,6.852753028304316e-14,9.49830638570793e-16,3122_240420
1,0.5,6.947741637798434e-14,6.459228553890732e-14,4.885077699653325e-15,3129_240420
2,1.0,6.947741637909812e-14,5.970715470078745e-14,9.770212558792142e-15,3135_240420
3,1.5,6.947741698996732e-14,5.536481666388021e-14,1.4112555265683588e-14,3141_240420
4,2.0,6.947741637635627e-14,4.993689302050607e-14,1.9540482272100356e-14,3146_240420
5,2.5,6.947741675108632e-14,4.55945547429004e-14,2.3882824742852655e-14,3151_240420
6,3.0,6.947741699153973e-14,4.125221633872671e-14,2.822516707932832e-14,3156_240420
7,3.5,6.947741611637367e-14,3.473870805818683e-14,3.473867934819564e-14,3157_240420
8,4.0,6.947741637663516e-14,3.039636966477788e-14,3.908102170447939e-14,3161_240420
9,4.5,6.947741659134592e-14,2.605403122175472e-14,4.3423364015212393e-14,3164_240420
10,5.0,6.947741675009717e-14,2.1711692734405365e-14,4.77657062699859e-14,3168_240420
11,5.5,6.947741688868996e-14,1.736935422217249e-14,5.2108048504600945e-14,3170_240420
12,6.0,6.947741699004709e-14,1.302701568563383e-14,5.645039070198033e-14,3174_240420
13,6.5,6.947741652817265e-14,6.513507799516186e-15,6.296390338413928e-14,3179_240420
14,7.0,6.94774166527271e-14,2.171169270397722e-15,6.730624560471597e-14,3184_240420
15,7.5,6.947741726237837e-14,0.0,6.940956816712801e-14,3194_240420
