,E,PS,PT,PG,SimID
0,0.1,1.0987279627883342e-14,1.0708305731081616e-14,2.789707548140185e-16,1190_240420
1,0.5,1.0987279612359336e-14,9.57095059982864e-15,1.4163261907382555e-15,1198_240420
2,1.0,1.0987279612359331e-14,8.154621587297941e-15,2.8326556208436127e-15,1205_240420
3,1.5,1.0987279601752016e-14,6.695373507317635e-15,4.2919041139812156e-15,1211_240420
4,2.0,1.0987279612127591e-14,5.321963562124302e-15,5.6653144808225955e-15,1217_240420
5,2.5,1.0987279593597215e-14,3.776877360299043e-15,7.21040111331625e-15,1222_240420
6,3.0,1.0987279601588157e-14,2.4034674128474093e-15,8.583811477772998e-15,1227_240420
7,3.5,1.0987279589865283e-14,8.583812179582252e-16,1.0128898117074154e-14,1233_240420
8,4.0,1.0987279644481908e-14,0.0,1.0976549876072019e-14,1243_240420
