,E,PS,PT,PG,SimID
0,0.1,3.5867254269336534e-11,3.583222765383914e-11,3.4396098689448615e-14,16239_250420
1,0.5,3.5867122636440745e-11,3.571826006690474e-11,1.481029692683523e-13,16251_250420
2,1.0,3.586712233103638e-11,3.556939719449946e-11,2.9696839917703666e-13,16262_250420
3,1.5,3.586711788061424e-11,3.5411773610645504e-11,4.545864920275323e-13,16272_250420
4,2.0,3.586712236121379e-11,3.527167208763895e-11,5.946998999805435e-13,16282_250420
5,2.5,3.5867114129767115e-11,3.50965315996354e-11,7.698278277256901e-13,16291_250420
6,3.0,3.5867117834802265e-11,3.495642929602799e-11,9.099404601143032e-13,16300_250420
7,3.5,3.586712041923235e-11,3.481632587570015e-11,1.0500519718978395e-12,16309_250420
8,4.0,3.586712231756953e-11,3.467622177186898e-11,1.19016279758848e-12,16318_250420
9,4.5,3.586712384987693e-11,3.453611730076041e-11,1.3302732572493422e-12,16327_250420
10,5.0,3.586711408400658e-11,3.432594902570942e-11,1.540426882409176e-12,16335_250420
11,5.5,3.586711614232365e-11,3.4185845073152234e-11,1.6805378680797103e-12,16341_250420
12,6.0,3.586711781189637e-11,3.404574073551101e-11,1.820648465005886e-12,16349_250420
13,6.5,3.58671273112054e-11,3.397569676940356e-11,1.8907124279916456e-12,16358_250420
14,7.0,3.5867120370459564e-11,3.376553128625295e-11,2.1008688782759994e-12,16366_250420
15,7.5,3.586712149405864e-11,3.3625426400679976e-11,2.240978929228532e-12,16370_250420
16,8.0,3.586712227184032e-11,3.348532118347592e-11,2.3810886343636707e-12,16378_250420
17,8.5,3.5867123186518864e-11,3.3345216087466754e-11,2.5211984763956748e-12,16385_250420
18,9.0,3.586712384769642e-11,3.32051107496252e-11,2.6613080649266836e-12,16393_250420
19,9.5,3.5867124513047674e-11,3.3065005410465826e-11,2.8014176576314038e-12,16399_250420
20,10.0,3.5867114083966906e-11,3.2784783967376e-11,3.081625083257551e-12,16406_250420
