,E,PS,PT,PG,SimID
0,0.1,6.769278216124159e-12,6.75523064170105e-12,1.3984723110179708e-14,12068_250420
1,0.5,6.769261753383559e-12,6.6998503779826535e-12,6.933274526645304e-14,12079_250420
2,1.0,6.769261729221026e-12,6.630438978914735e-12,1.3874491112388032e-13,12089_250420
3,1.5,6.76927812613683e-12,6.5577381846950544e-12,2.1147884044154726e-13,12094_250420
4,2.0,6.76926174867954e-12,6.491616247268856e-12,2.775693106223145e-13,12103_250420
5,2.5,6.769278227570638e-12,6.4189151943077044e-12,3.5030332191527515e-13,12113_250420
6,3.0,6.769278126133686e-12,6.346198243250331e-12,4.230207528801862e-13,12117_250420
7,3.5,6.769278280620983e-12,6.280092154872982e-12,4.891277550055406e-13,12126_250420
8,4.0,6.7692617486757904e-12,6.21397074585473e-12,5.552180706984054e-13,12134_250420
9,4.5,6.769278126132636e-12,6.134658301807701e-12,6.345626653209195e-13,12139_250420
10,5.0,6.76927822783682e-12,6.068552161283399e-12,7.006696146631607e-13,12148_250420
11,5.5,6.769278325590052e-12,6.002446015269304e-12,7.667765600544506e-13,12156_250420
12,6.0,6.769278126132115e-12,5.923118360365601e-12,8.461045777621824e-13,12159_250420
13,6.5,6.7692779755140754e-12,5.84379075229926e-12,9.254326443098108e-13,12167_250420
14,7.0,6.769278280619644e-12,5.790906029123837e-12,9.783184275258258e-13,12175_250420
15,7.5,6.76927812394172e-12,5.711578417075826e-12,1.0576464880135703e-12,12180_250420
16,8.0,6.769261748673925e-12,5.658679743032109e-12,1.1105155908562214e-12,12187_250420
17,8.5,6.769278227411877e-12,5.579366038999633e-12,1.1898602867598415e-12,12195_250420
18,9.0,6.769278123893956e-12,5.500038475663839e-12,1.2691884004075889e-12,12199_250420
19,9.5,6.7692616783160386e-12,5.447140256769938e-12,1.3220574329401183e-12,12206_250420
20,10.0,6.769278227835882e-12,5.3678260947292346e-12,1.4014021996256304e-12,12214_250420
