,E,PS,PT,PG,SimID
0,0.1,2.3205964872532356e-12,2.3139395027011787e-12,6.6452206812794285e-15,9431_250420
1,0.5,2.3205965296374468e-12,2.2877365201845726e-12,3.2848420580077546e-14,9442_250420
2,1.0,2.3205965296362896e-12,2.2548765107305744e-12,6.570859648910547e-14,9452_250420
3,1.5,2.3205964915552295e-12,2.2208833610587158e-12,9.970184383237494e-14,9460_250420
4,2.0,2.3205965292778954e-12,2.1891564914867645e-12,1.314289479510815e-13,9469_250420
5,2.5,2.3205963654677883e-12,2.148364603968226e-12,1.7222072665016985e-13,9477_250420
6,3.0,2.3205964908392013e-12,2.1211702299077075e-12,1.9941548036104614e-13,9484_250420
7,3.5,2.320596445579182e-12,2.0849108690750466e-12,2.3567493955364497e-13,9491_250420
8,4.0,2.3205965292776067e-12,2.057716453695378e-12,2.6286965159153323e-13,9499_250420
9,4.5,2.320596490839073e-12,2.0214570994418487e-12,2.991291176056173e-13,9507_250420
10,5.0,2.320596365467551e-12,1.9761328424684616e-12,3.4445337279986824e-13,9514_250420
11,5.5,2.3205965185016296e-12,1.95800331248575e-12,3.6258327806025593e-13,9519_250420
12,6.0,2.320596490839007e-12,1.921743968976053e-12,3.9884275485025124e-13,9525_250420
13,6.5,2.320596466686041e-12,1.8854846291824085e-12,4.351022351499032e-13,9529_250420
14,7.0,2.3205964455790137e-12,1.8492252925707766e-12,4.713617184954938e-13,9535_250420
15,7.5,2.320596426544285e-12,1.8129659582377229e-12,5.076212039133836e-13,9540_250420
16,8.0,2.3205965292774613e-12,1.7948363781130365e-12,5.257510588728685e-13,9547_250420
17,8.5,2.3205965077280375e-12,1.7585770410126534e-12,5.620105417760628e-13,9554_250420
18,9.0,2.320596490838942e-12,1.7223177080445273e-12,5.982700293395854e-13,9561_250420
19,9.5,2.3205963740943143e-12,1.6679286438802884e-12,6.526591692738846e-13,9566_250420
20,10.0,2.320596365467432e-12,1.6316693194692881e-12,6.889186650996205e-13,9572_250420
