,E,PS,PT,PG,SimID
0,0.1,4.201955620213016e-14,4.1363000636471876e-14,6.565311778967823e-16,2524_240420
1,0.5,4.2019556202709704e-14,3.873677837437301e-14,3.282754989538758e-15,2530_240420
2,1.0,4.201955620270947e-14,3.5454000546036116e-14,6.565534753366569e-15,2535_240420
3,1.5,4.201955620204419e-14,3.217122271719008e-14,9.848314516529338e-15,2541_240420
4,2.0,4.2019556202709363e-14,2.8888444889362687e-14,1.3131094281022553e-14,2545_240420
5,2.5,4.201955620270935e-14,2.560566706102601e-14,1.641387404485059e-14,2551_240420
6,3.0,4.201955620270935e-14,2.2322889232689342e-14,1.969665380867863e-14,2556_240420
7,3.5,4.201955642156629e-14,1.9696667072609198e-14,2.232287783859801e-14,2561_240420
8,4.0,4.201955620270935e-14,1.5757333576016007e-14,2.626221333633473e-14,2564_240420
9,4.5,4.201955637252363e-14,1.3131111366413635e-14,2.888843731721145e-14,2568_240420
10,5.0,4.201955597905335e-14,9.19177787041792e-15,3.282777264033482e-14,2573_240420
11,5.5,4.201955634232648e-14,6.565555678488512e-15,3.5453996814670386e-14,2578_240420
12,6.0,4.201955620270934e-14,2.6262222626693336e-15,3.93933323916469e-14,2582_240420
13,6.5,4.201955655064814e-14,1.3131111422077544e-15,4.0706444645116925e-14,2587_240420
14,7.0,4.2019556848064365e-14,0.0,4.197852210101651e-14,2597_240420
