,E,PS,PT,PG,SimID
0,0.1,2.262591484265382e-14,2.1963046243747947e-14,6.6285561504272075e-16,2151_240420
1,0.5,2.2625914955068815e-14,1.9444145664512264e-14,3.1817578923950052e-15,2157_240420
2,1.0,2.2625915005968873e-14,1.6262376410540128e-14,6.363529099005321e-15,2162_240420
3,1.5,2.2625914860092572e-14,1.2727077108802071e-14,9.898830237251531e-15,2166_240420
4,2.0,2.2625915005968838e-14,9.898837815111366e-15,1.2727071410425807e-14,2170_240420
5,2.5,2.2625914918982638e-14,6.363538570963867e-15,1.626237260756212e-14,2175_240420
6,3.0,2.262591486044855e-14,2.8282393575560688e-15,1.9797673833150542e-14,2178_240420
7,3.5,2.2625915017237665e-14,7.07059844288677e-16,2.1918854760413165e-14,2183_240420
8,4.0,2.2625912063778465e-14,0.0,2.26038164307527e-14,2193_240420
