,E,PS,PT,PG,SimID
0,0.1,1.653242914876949e-14,1.6112660439914015e-14,4.197620326082744e-16,1628_240420
1,0.5,1.653242905226337e-14,1.4336715818759642e-14,2.195707209426539e-15,1635_240420
2,1.0,1.6532429052523143e-14,1.2141002585446682e-14,4.391421365796456e-15,1641_240420
3,1.5,1.6532429009845907e-14,9.816129724596007e-15,6.716295135471139e-15,1646_240420
4,2.0,1.653242905252313e-14,7.749576118370217e-15,8.782849678016734e-15,1651_240420
5,2.5,1.6532429129853754e-14,5.941341718541193e-15,1.0591084942732186e-14,1657_240420
6,3.0,1.6532429009845888e-14,3.099830439346104e-15,1.343259726004333e-14,1661_240420
7,3.5,1.6532429032984914e-14,1.0332768145615571e-15,1.549915178305073e-14,1665_240420
8,4.0,1.65324291805156e-14,0.0,1.651628422348538e-14,1675_240420
