,E,PS,PT,PG,SimID
0,0.1,1.4879186113318894e-14,1.4443272457655253e-14,4.359075540826006e-16,1568_240420
1,0.5,1.487918613554478e-14,1.267055694354985e-14,2.208623858226825e-15,1575_240420
2,1.0,1.4879186135544757e-14,1.0461927751554907e-14,4.417253979961125e-15,1581_240420
3,1.5,1.4879186205518243e-14,8.485785882834623e-15,6.393396790433742e-15,1588_240420
4,2.0,1.4879186135544754e-14,6.044669367565056e-15,8.834514223429765e-15,1593_240420
5,2.5,1.4879186114361428e-14,3.719796528590357e-15,1.1159388014598358e-14,1595_240420
6,3.0,1.4879186154961713e-14,2.0923855530414908e-15,1.2786799723844987e-14,1601_240420
7,3.5,1.4879186217626084e-14,5.812182116260189e-17,1.4821064372317285e-14,1609_240420
8,4.0,1.4879184868153358e-14,0.0,1.486465440682616e-14,1619_240420
