,Temp,GrowthRate_nATP05,FinalBiomass_nATP05,FinalCH4_nATP05,GrowthRate_nATP10,FinalBiomass_nATP10,FinalCH4_nATP10,GrowthRate_nATP15,FinalBiomass_nATP15,FinalCH4_nATP15
0,280,0.007086614173228334,2545610672.0,0.0001920578293187559,0.007086614173228334,638298683.0,6.243957331752112e-05,0.007086614173228334,375793357.0,3.8519642447860544e-05
1,281,0.007239382239382213,2107885111.0,0.00017299420605250545,0.007239382239382213,569479887.0,5.883840031962514e-05,0.007239382239382213,337785701.0,3.659541827626008e-05
2,282,0.007426968146558931,1629815127.0,0.0001505999731430283,0.007426968146558931,482431912.0,5.4140850246356936e-05,0.007426968146558931,288099644.0,3.380001032664736e-05
3,283,0.008077544426494387,1389581752.0,0.00013761093425140847,0.008077544426494387,429626304.0,5.112300768683715e-05,0.008077544426494387,258382886.0,3.202776768811908e-05
4,284,0.008380863694564106,1086821163.0,0.0001208485409803351,0.008380863694564106,358480685.0,4.6559293815945585e-05,0.008380863694564106,217614337.0,2.940457792121537e-05
5,285,0.00871670702179163,859194451.0,0.00010639036924592499,0.00871670702179163,299315333.0,4.2590114967886465e-05,0.00871670702179163,182881993.0,2.6953335459664496e-05
6,286,0.009590792838874646,730882600.0,9.778012404575044e-05,0.009590792838874646,262159322.0,3.978240653818334e-05,0.009590792838874646,161140355.0,2.5320501639698318e-05
7,287,0.010161454217003488,616821600.0,8.965805704226726e-05,0.010161454217003488,227931089.0,3.7234092762052064e-05,0.010340073529411764,148291781.0,2.4347891196806076e-05
8,288,0.010556256047854899,508876291.0,8.101911574292946e-05,0.010556256047854899,193744285.0,3.428505605291854e-05,0.010556256047854899,120261175.0,2.188939798876707e-05
9,289,0.011307100859339765,457828864.0,7.6941406256415e-05,0.011307100859339765,176527095.0,3.2738849002916876e-05,0.011122645706658723,113265333.0,2.1349975602830813e-05
10,290,0.012019230769230803,395738795.0,7.131495819822883e-05,0.012019230769230803,155547083.0,3.0791734619591494e-05,0.012019230769230803,97206950.0,1.979075314894535e-05
11,291,0.012511120996441319,323940963.0,6.435752791719662e-05,0.012511120996441319,130445899.0,2.8236212645840917e-05,0.012511120996441319,81951143.0,1.8205609095606654e-05
12,292,0.013130252100840447,275748501.0,5.927506757283859e-05,0.013130252100840447,112874235.0,2.6309092125650697e-05,0.013130252100840447,71221959.0,1.7008741366911377e-05
13,293,0.014175907258064516,241810309.0,5.559653910254807e-05,0.014175907258064516,100260454.0,2.4840587251887983e-05,0.014175907258064516,63410422.0,1.608042803001901e-05
14,294,0.014656389099989056,208157353.0,5.1497901481673095e-05,0.014656389099989056,87510266.0,2.3252496818466077e-05,0.014656389099989056,55492168.0,1.505874277808e-05
15,295,0.015734265734265618,177306607.0,4.754533539484714e-05,0.015734265734265618,75532951.0,2.1633206570251072e-05,0.015734265734265618,48071642.0,1.4058428541544566e-05
16,296,0.01637306327885763,148226452.0,4.3531838897769305e-05,0.01637306327885763,64037274.0,1.9989714912841462e-05,0.01637306327885763,40881393.0,1.2960541360929061e-05
17,297,0.017904509283819564,132843727.0,4.129728423659957e-05,0.017904509283819564,57778374.0,1.9006642026314302e-05,0.017904509283819564,36954316.0,1.238846883810196e-05
18,298,0.018759770713913514,117011246.0,3.882401799599256e-05,0.018759770713913514,51315722.0,1.79925239292769e-05,0.018759770713913514,32929854.0,1.1751788732933332e-05
19,299,0.01924721984602239,94457417.0,3.481034663497469e-05,0.01924721984602239,41979704.0,1.6278663595933258e-05,0.01924721984602239,27016623.0,1.065015369084549e-05
20,300,0.02153846153846146,86687939.0,3.3381081891682635e-05,0.02153846153846146,38688702.0,1.5650845597863134e-05,0.02117647058823522,24175427.0,1.0057338889458983e-05
21,301,0.022786458333333332,75797127.0,3.1432199103375734e-05,0.022786458333333332,34089634.0,1.4766625482787752e-05,0.022786458333333332,22005016.0,9.675272043026748e-06
22,302,0.023512336719883883,63040346.0,2.865383396361693e-05,0.023512336719883883,28596305.0,1.3577296064195369e-05,0.023491684689387587,18238998.0,8.83482797013714e-06
23,303,0.025452488687782715,57310236.0,2.742531761585194e-05,0.025452488687782715,26103934.0,1.3034507111228227e-05,0.02592912705272262,16728690.0,8.508515363518065e-06
24,304,0.027097211245342638,49112257.0,2.549942785374688e-05,0.027097211245342638,22523090.0,1.217012268969963e-05,0.027097211245342638,14619931.0,7.99514733907023e-06
25,305,0.028526148969889052,42748811.0,2.3886339058087116e-05,0.028526148969889052,19707830.0,1.1434292301312597e-05,0.029241877256317706,13110621.0,7.586061557477966e-06
26,306,0.031131096506399086,36944166.0,2.2198871599875448e-05,0.031131096506399086,17124474.0,1.0676123608548113e-05,0.030612244897959072,11551330.0,7.174650823327917e-06
27,307,0.031904450261779904,31328130.0,2.057090169152127e-05,0.031904450261779904,14605412.0,9.8893067839761e-06,0.031904450261779904,9527014.0,6.536447701359737e-06
28,308,0.03413357606098532,27532701.0,1.9291247889830643e-05,0.03413357606098532,12886033.0,9.343278039091381e-06,0.03413357606098532,8416175.0,6.156095950330762e-06
29,309,0.03721644612476376,25081602.0,1.8527922312311557e-05,0.03721644612476376,11776148.0,9.00944334529085e-06,0.03714914694551478,7706226.0,5.919434726301309e-06
30,310,0.03886925795052987,20422564.0,1.679007272872815e-05,0.03886925795052987,9639994.0,8.167645696920751e-06,0.03886925795052987,6313513.0,5.374580902491357e-06
31,311,0.04253308128544419,18886862.0,1.6209803854869896e-05,0.04253308128544419,8934628.0,7.92569985899789e-06,0.04291163382072486,6007769.0,5.2903207088847565e-06
32,312,0.04446483396266361,16234272.0,1.5091527157257428e-05,0.04446483396266361,7709249.0,7.400306954150107e-06,0.044659102186641805,5217293.0,4.947925250844915e-06
33,313,0.04621848739495782,13618205.0,1.385037918306464e-05,0.04621848739495782,6494063.0,6.780776964636147e-06,0.04744333157617274,4323492.0,4.518089614373451e-06
34,314,0.05123264877173013,12689824.0,1.3524729736677465e-05,0.05123264877173013,6060747.0,6.636315805272489e-06,0.050734713818633016,4009145.0,4.4021958530774655e-06
