T,pH,a_H2O,a_CO2,a_CO2factor
0,11,0.99831,4.70E-08,0.466633565
10,10.83912692,0.99831097,5.68825E-08,0.486590931
20,10.68883841,0.998312432,7.33767E-08,0.528650822
30,10.54293274,0.998314318,1.00484E-07,0.58016352
40,10.40171622,0.998316592,1.44561E-07,0.6351532
50,10.26625045,0.998319227,2.15629E-07,0.688471195
60,10.13755411,0.998322206,3.2939E-07,0.736397262
70,10.01625163,0.998325516,5.10163E-07,0.778875252
80,9.902528074,0.998329157,7.95122E-07,0.814257163
90,9.796217917,0.998333134,1.24033E-06,0.843763136
100,9.696927926,0.998337462,1.92922E-06,0.867453304
110,9.604152698,0.998342165,2.98427E-06,0.887646955
120,9.517369781,0.998347275,4.58301E-06,0.903767864
130,9.436111463,0.998352838,6.97936E-06,0.917009839
140,9.360013107,0.998358908,1.05319E-05,0.927921873
150,9.288839002,0.998365557,1.57405E-05,0.936934811
160,9.222488378,0.998372869,2.32929E-05,0.942268238
170,9.160986355,0.998380952,3.41228E-05,0.946016018
180,9.104466135,0.998389936,4.9481E-05,0.947912096
190,9.053148564,0.998399981,7.10193E-05,0.947303172
200,9.007323104,0.998411281,0.000100888,0.943756888
