T,pH,a_H2O,a_CO2,a_CO2factor
0,10.5,0.99831,3.49E-07,0.442668696
10,10.36489485,0.998310716,3.77649E-07,0.443198455
20,10.24876415,0.998312163,4.19908E-07,0.451223348
30,10.14309792,0.998314033,4.82727E-07,0.465503389
40,10.04446258,0.998316287,5.76976E-07,0.48731113
50,9.950184416,0.998318901,7.1901E-07,0.516901771
60,9.858598988,0.998321853,9.3326E-07,0.553206744
70,9.768996234,0.998325134,1.2561E-06,0.59530794
80,9.681318112,0.99832874,1.74156E-06,0.639575442
90,9.595810977,0.998332678,2.46958E-06,0.683903464
100,9.512782711,0.998336962,3.55753E-06,0.726026895
110,9.43249491,0.998341614,5.17632E-06,0.766521077
120,9.355150837,0.998346666,7.57206E-06,0.802720068
130,9.280928542,0.998352164,1.10952E-05,0.834849894
140,9.21002253,0.99835816,1.62382E-05,0.86327474
150,9.142674551,0.998364725,2.36843E-05,0.888384705
160,9.07918748,0.998371944,3.43673E-05,0.907745792
170,9.01992489,0.998379922,4.95431E-05,0.923793658
180,8.965302741,0.998388788,7.08727E-05,0.935736796
190,8.915779254,0.998398701,0.000100511,0.942883126
200,8.871845934,0.998409855,0.000141198,0.945730144
