,E,PS,PT,PG,SimID
0,0.1,1.2495519387694894e-12,1.2428404781608642e-12,6.7051262938031166e-15,8657_250420
1,0.5,1.2495519722316084e-12,1.2166048010887828e-12,3.294100312187907e-14,8667_250420
2,1.0,1.2495519720367127e-12,1.1836576297613391e-12,6.588834110748766e-14,8676_250420
3,1.5,1.2495519494516307e-12,1.1494901722494495e-12,1.0005592848737283e-13,8685_250420
4,2.0,1.2495519720823904e-12,1.1177632875268258e-12,1.3178301751417353e-13,8693_250420
5,2.5,1.2495519585424751e-12,1.0835958390485526e-12,1.659506139392257e-13,8700_250420
6,3.0,1.2495519494515176e-12,1.049428395047173e-12,2.001182148132356e-13,8708_250420
7,3.5,1.2495519436460353e-12,1.0152609542124037e-12,2.3428581897272067e-13,8712_250420
8,4.0,1.249551972082306e-12,9.859746029711945e-13,2.635723702361061e-13,8719_250420
9,4.5,1.2495519345565939e-12,9.469260754061687e-13,3.0262102981321375e-13,8726_250420
10,5.0,1.249551958502125e-12,9.176397195249981e-13,3.3190757658585963e-13,8732_250420
11,5.5,1.2495519289475143e-12,8.78591200041221e-13,3.7095624413406875e-13,8738_250420
12,6.0,1.2495519494514623e-12,8.493048406427907e-13,4.002427874651317e-13,8745_250420
13,6.5,1.2495519662466182e-12,8.200184778493432e-13,4.295293270874025e-13,8750_250420
14,7.0,1.2495519434533117e-12,7.809699646583198e-13,4.685780013969158e-13,8753_250420
15,7.5,1.2495519219853572e-12,7.419214536788059e-13,5.07626677031781e-13,8758_250420
16,8.0,1.2495519720822644e-12,7.223972338600591e-13,5.271510756800981e-13,8764_250420
17,8.5,1.249551953458852e-12,6.833487245478098e-13,5.661997541595057e-13,8770_250420
18,9.0,1.2495519345565571e-12,6.443002162557247e-13,6.052484323600304e-13,8776_250420
19,9.5,1.2495519763349025e-12,6.247759881674512e-13,6.247728226897857e-13,8777_250420
20,10.0,1.2495519585423747e-12,5.857274805667381e-13,6.638215020000777e-13,8782_250420
