,E,PS,PT,PG,SimID
0,0.1,1.3739436702815455e-09,1.3726019284160363e-09,1.303062242800346e-12,27812_250420
1,0.5,1.3737829167304133e-09,1.3710997469711742e-09,1.1423086916681432e-12,27822_250420
2,1.0,1.3737816618610697e-09,1.3710984945527473e-09,2.482833497826708e-12,27831_250420
3,1.5,1.3737812598054089e-09,1.3697565100208228e-09,3.8242111176681035e-12,27841_250420
4,2.0,1.373781040419593e-09,1.368414708230454e-09,5.165771407354384e-12,27849_250420
5,2.5,1.373780900409139e-09,1.36707298585636e-09,6.507411072402567e-12,27859_250420
6,3.0,1.373780809037714e-09,1.3657313121097587e-09,7.849099376479788e-12,27868_250420
7,3.5,1.3737807542103785e-09,1.3643896748358935e-09,9.190824224646417e-12,27878_250420
8,4.0,1.3737807237453364e-09,1.363048061841076e-09,1.0532573435106656e-11,27885_250420
9,4.5,1.3737806689295485e-09,1.361706424769035e-09,1.187429829482098e-11,27895_250420
10,5.0,1.3737806567388882e-09,1.3603648300129225e-09,1.3216065779662908e-11,27904_250420
11,5.5,1.3737806384617385e-09,1.3590232292595127e-09,1.4557827178015286e-11,27914_250420
12,6.0,1.3737806080086737e-09,1.3576816165085722e-09,1.5899576400452716e-11,27922_250420
13,6.5,1.3737805836458098e-09,1.3563400098299938e-09,1.7241331713091015e-11,27932_250420
14,7.0,1.3737805653728505e-09,1.3549984092056437e-09,1.85830931156339e-11,27941_250420
15,7.5,1.3737805591920784e-09,1.3536568205320382e-09,1.99248666103641e-11,27951_250420
16,8.0,1.3737805531847287e-09,1.3523152320412172e-09,2.1266640278516217e-11,27957_250420
17,8.5,1.3737805470915835e-09,1.3509736434777583e-09,2.2608413860873306e-11,27967_250420
18,9.0,1.3737805470877638e-09,1.3496320609084868e-09,2.395019353255578e-11,27976_250420
19,9.5,1.3737805470843444e-09,1.3482904783396154e-09,2.529197320463869e-11,27986_250420
20,10.0,1.373780540992421e-09,1.3469488898011627e-09,2.6633746788217417e-11,27994_250420
