,E,PS,PT,PG,SimID
0,0.1,5.950155284712821e-12,5.938533887672366e-12,5.688448971058452e-15,445_240420
1,2.0,5.950176777527616e-12,5.816530228813616e-12,1.3354793825341792e-13,455_240420
2,4.0,5.9501767683538265e-12,5.682883671337932e-12,2.6719674356844633e-13,464_240420
3,6.0,5.950177193606297e-12,5.555048239343379e-12,3.9503516528848217e-13,472_240420
4,8.0,5.950176768171376e-12,5.415590574155978e-12,5.344943723636313e-13,480_240420
5,10.0,5.950176520335981e-12,5.276133086391671e-12,6.739537570383075e-13,488_240420
6,12.0,5.950177193361546e-12,5.1599192848682155e-12,7.901707904889305e-13,495_240420
7,14.0,5.95017695496718e-12,5.020461805753558e-12,9.296301846046355e-13,500_240420
8,16.0,5.9501767683490225e-12,4.881004380286308e-12,1.0690896304965486e-12,507_240420
9,18.0,5.950176615391797e-12,4.741546990390338e-12,1.208549110049394e-12,513_240420
10,20.0,5.950176520527879e-12,4.602089652595782e-12,1.3480086476955462e-12,520_240420
11,22.0,5.950176416119472e-12,4.462632312089604e-12,1.48746817579721e-12,522_240420
12,24.0,5.950177190317077e-12,4.369661374139103e-12,1.5804420383348622e-12,528_240420
13,26.0,5.950176291063366e-12,4.183717704653929e-12,1.7663873157612458e-12,534_240420
14,28.0,5.950176954966265e-12,4.090746656539307e-12,1.8593610680041907e-12,538_240420
15,30.0,5.950176869289655e-12,3.9512893272626615e-12,1.9988206148376525e-12,545_240420
16,32.0,5.950176768348228e-12,3.811831992223083e-12,2.1382801464062954e-12,551_240420
17,34.0,5.9501772882226106e-12,3.718860805139132e-12,2.231253754620726e-12,554_240420
18,36.0,5.950176615391082e-12,3.532917365388455e-12,2.4171992584692913e-12,559_240420
19,38.0,5.95017708654526e-12,3.4399461281589784e-12,2.5101728179635166e-12,565_240420
20,40.0,5.9501765201862204e-12,3.254002784476839e-12,2.6961184282845714e-12,571_240420
