,E,PS,PT,PG,SimID
0,0.1,6.316128746735546e-14,6.217439235067804e-14,9.86843819764122e-16,3048_240420
1,0.5,6.316128746735132e-14,5.822681188396451e-14,4.9344275434165815e-15,3054_240420
2,1.0,6.316128746475513e-14,5.329233629838714e-14,9.868907195391122e-15,3059_240420
3,1.5,6.316128746735059e-14,4.8357860717190294e-14,1.4803386852557328e-14,3065_240420
4,2.0,6.316128746735053e-14,4.342338513380349e-14,1.9737866507128004e-14,3069_240420
5,2.5,6.316128808307036e-14,3.947580505191898e-14,2.368545084650443e-14,3072_240420
6,3.0,6.316128746735048e-14,3.355443396702994e-14,2.960682581626944e-14,3077_240420
7,3.5,6.316128791076799e-14,2.96068537081725e-14,3.3554409983343544e-14,3082_240420
8,4.0,6.316128746735039e-14,2.3685482800256396e-14,3.947578512541083e-14,3085_240420
9,4.5,6.316128759876814e-14,1.9737902374615045e-14,4.342336898048518e-14,3089_240420
10,5.0,6.316128808307023e-14,1.579032202076756e-14,4.7370953188443866e-14,3091_240420
11,5.5,6.316128718498218e-14,7.895160898122773e-15,5.5266119737669e-14,3094_240420
12,6.0,6.316128730365092e-14,3.947580456478183e-15,5.921370357999433e-14,3098_240420
13,6.5,6.316128816772839e-14,1.973790255241512e-15,6.118749630590009e-14,3103_240420
14,7.0,6.316128877459704e-14,0.0,6.30996077789149e-14,3113_240420
