,E,PS,PT,PG,SimID
0,0.1,4.957707713106034e-10,4.952866201667454e-10,4.617425839219023e-13,25042_250420
1,0.5,4.957375268229049e-10,4.947692894658289e-10,9.126711448319543e-13,25051_250420
2,1.0,4.957373930601565e-10,4.938009188685152e-10,1.8808834793009425e-12,25059_250420
3,1.5,4.957373468220599e-10,4.928326358055244e-10,2.8491833384217463e-12,25068_250420
4,2.0,4.957373237029802e-10,4.918643758615507e-10,3.817506316559447e-12,25075_250420
5,2.5,4.957373038902636e-10,4.908961192819602e-10,4.7858326010600856e-12,25084_250420
6,3.0,4.957372972831793e-10,4.899278758306421e-10,5.754172091193224e-12,25092_250420
7,3.5,4.957372905847157e-10,4.889596323150028e-10,6.722511489946974e-12,25101_250420
8,4.0,4.957372824229182e-10,4.879913873850601e-10,7.69084942536681e-12,25107_250420
9,4.5,4.957372807701957e-10,4.870231488816571e-10,8.659193869861686e-12,25116_250420
10,5.0,4.957372791179493e-10,4.860549103851768e-10,9.627538314832578e-12,25124_250420
11,5.5,4.957372774393175e-10,4.850866718693322e-10,1.059588273341825e-11,25133_250420
12,6.0,4.95737274164053e-10,4.84118431800833e-10,1.1564225555371027e-11,25140_250420
13,6.5,4.957372741629584e-10,4.831501949361646e-10,1.2532571651493836e-11,25149_250420
14,7.0,4.957372741620197e-10,4.82181958071652e-10,1.3500917747772424e-11,25157_250420
15,7.5,4.957372741612064e-10,4.812137212072649e-10,1.4469263844176604e-11,25166_250420
16,8.0,4.957372725101437e-10,4.802454827442017e-10,1.5437608290331195e-11,25171_250420
17,8.5,4.95737272464147e-10,4.792772458393608e-10,1.6405954341551966e-11,25180_250420
18,9.0,4.957372692082563e-10,4.783090058376535e-10,1.7374297182878686e-11,25188_250420
19,9.5,4.957372659070562e-10,4.773407658050365e-10,1.8342639978895847e-11,25197_250420
20,10.0,4.957372642562568e-10,4.763725273712468e-10,1.9310984425313855e-11,25204_250420
