,E,PS,PT,PG,SimID
0,0.1,7.470852165533504e-11,7.463556411465601e-11,7.173815393856915e-14,18285_250420
1,0.5,7.470762339860131e-11,7.449331319964292e-11,2.1219744171506916e-13,18299_250420
2,1.0,7.47076221123204e-11,7.42790017217834e-11,4.26512432594813e-13,18312_250420
3,1.5,7.470762628720076e-11,7.406925545710993e-11,6.362729638451741e-13,18324_250420
4,2.0,7.470762173404027e-11,7.38503809573069e-11,8.551446086359888e-13,18336_250420
5,2.5,7.470761908953876e-11,7.363150836534862e-11,1.074018162085793e-12,18348_250420
6,3.0,7.470762590575645e-11,7.343088425209362e-11,1.2746614930921782e-12,18359_250420
7,3.5,7.470762391175185e-11,7.321201230023728e-11,1.4935356970388916e-12,18370_250420
8,4.0,7.470762153301608e-11,7.299313998416268e-11,1.7124095162544313e-12,18381_250420
9,4.5,7.470763188557672e-11,7.2810758419732e-11,1.8948167004411667e-12,18390_250420
10,5.0,7.470761896075046e-11,7.255539751608039e-11,2.1501593398914262e-12,18401_250420
11,5.5,7.470761773614372e-11,7.23365263529165e-11,2.3690343132360055e-12,18412_250420
12,6.0,7.470762571278863e-11,7.215414241205855e-11,2.5514391215070047e-12,18422_250420
13,6.5,7.470762449088013e-11,7.193527123828887e-11,2.770314097549802e-12,18431_250420
14,7.0,7.470762378305572e-11,7.171640056517947e-11,2.989189587676704e-12,18441_250420
15,7.5,7.470762217610872e-11,7.149752903572905e-11,3.2080641786810163e-12,18449_250420
16,8.0,7.47076214685828e-11,7.12786583738334e-11,3.4269396691064005e-12,18459_250420
17,8.5,7.470762088963667e-11,7.105978783838488e-11,3.645815288111587e-12,18468_250420
18,9.0,7.470763182116755e-11,7.091388489274889e-11,3.791743684943348e-12,18476_250420
19,9.5,7.470763040669893e-11,7.069501353915163e-11,4.010618468426036e-12,18486_250420
20,10.0,7.470761883212113e-11,7.040317595019227e-11,4.302441824449982e-12,18496_250420
