,E,PS,PT,PG,SimID
0,0.1,3.0883087360589212e-15,2.9676716760566197e-15,1.20636721971384e-16,294_240420
1,0.5,3.0883087320914763e-15,2.4609960208853953e-15,6.273124277262012e-16,300_240420
2,1.0,3.0883087320919713e-15,1.833683309679608e-15,1.2546252111923547e-15,305_240420
3,1.5,3.0883087293429484e-15,1.1581157735036057e-15,1.9301928214063483e-15,308_240420
4,2.0,3.0883087321194406e-15,5.790578872723951e-16,2.5092507781511405e-15,312_240420
5,2.5,3.0883087353173044e-15,4.825482398933288e-17,3.0400539058199462e-15,318_240420
6,3.0,3.0883086637971766e-15,0.0,3.0852927369535915e-15,328_240420
