,E,PS,PT,PG,SimID
0,0.1,7.742355580922498e-11,7.734794686800504e-11,7.316473834035221e-14,18966_250420
1,0.5,7.742309408426218e-11,7.712066012299553e-11,2.995370047877557e-13,18974_250420
2,1.0,7.742309282825118e-11,7.681822491553046e-11,6.01981070657056e-13,18981_250420
3,1.5,7.742309255891722e-11,7.651579069299241e-11,9.044261232033856e-13,18989_250420
4,2.0,7.74230925545308e-11,7.621335673336626e-11,1.2068714406972626e-12,18995_250420
5,2.5,7.742309246432547e-11,7.591092268963162e-11,1.5093166723722182e-12,19003_250420
6,3.0,7.742309228958324e-11,7.560848856404614e-11,1.811761819510286e-12,19010_250420
7,3.5,7.742309228950794e-11,7.530605460971671e-11,2.114207141315279e-12,19018_250420
8,4.0,7.742309219518637e-11,7.50036205640868e-11,2.416652368874002e-12,19023_250420
9,4.5,7.742309219980533e-11,7.470118661465593e-11,2.7190976953732443e-12,19031_250420
10,5.0,7.742309211016786e-11,7.439875257461443e-11,3.021542927616076e-12,19038_250420
11,5.5,7.742309193093405e-11,7.409631844952673e-11,3.323988070262552e-12,19046_250420
12,6.0,7.742309193090999e-11,7.379388449664859e-11,3.6264333921187874e-12,19052_250420
13,6.5,7.742309193088972e-11,7.349145054377423e-11,3.928878713978801e-12,19060_250420
14,7.0,7.742309193087239e-11,7.318901659090281e-11,4.2313240358417736e-12,19067_250420
15,7.5,7.742303866151645e-11,7.258409874517166e-11,4.8361614102464125e-12,19071_250420
16,8.0,7.742309193084411e-11,7.258414868516635e-11,4.836214679574072e-12,19075_250420
17,8.5,7.742309193083244e-11,7.22817147323006e-11,5.138660001442686e-12,19083_250420
18,9.0,7.742309184121987e-11,7.19792806961341e-11,5.4411052337104115e-12,19090_250420
19,9.5,7.742304987148362e-11,7.137437410027396e-11,6.045953907734752e-12,19096_250420
20,10.0,7.742309184120239e-11,7.137441279110845e-11,6.045995877453522e-12,19102_250420
