,E,PS,PT,PG,SimID
0,0.1,2.818536290739457e-13,2.7868828070055665e-13,3.1645822489369482e-15,5922_240420
1,0.5,2.818536354711393e-13,2.6643976478131136e-13,1.541314428436552e-14,5929_240420
2,1.0,2.818536354711222e-13,2.510258940914682e-13,3.082705699763284e-14,5935_240420
3,1.5,2.818536354711163e-13,2.356120234016363e-13,4.6240969710911366e-14,5942_240420
4,2.0,2.818536354711133e-13,2.2019815271180726e-13,6.16548824241928e-14,5947_240420
5,2.5,2.818536287738399e-13,2.0258229568119745e-13,7.92707759706731e-14,5952_240420
6,3.0,2.818536354624559e-13,1.8937041132633758e-13,9.248270784210432e-14,5958_240420
7,3.5,2.8185363066127377e-13,1.717545561842137e-13,1.100986032846758e-13,5964_240420
8,4.0,2.8185363547110876e-13,1.5854266995249867e-13,1.2331053327732601e-13,5968_240420
9,4.5,2.818536316513659e-13,1.4092681582568295e-13,1.409264297013368e-13,5969_240420
10,5.0,2.81853628764086e-13,1.2331096258428764e-13,1.5854232705781057e-13,5973_240420
11,5.5,2.8185363864609013e-13,1.145030406999741e-13,1.6735028706169147e-13,5978_240420
12,6.0,2.818536354711076e-13,9.688718719319323e-14,1.8496618413046257e-13,5983_240420
13,6.5,2.818536431345128e-13,8.807926347953524e-14,1.937741419157446e-13,5987_240420
14,7.0,2.818536306612715e-13,6.165548170715314e-14,2.2019797980813375e-13,5992_240420
15,7.5,2.8185363772624575e-13,5.284755707367108e-14,2.2900593699498486e-13,5996_240420
16,8.0,2.818536354605863e-13,3.5231704432573286e-14,2.46621834973079e-13,5999_240420
17,8.5,2.8185363350418857e-13,1.7615852094011786e-14,2.642377332604349e-13,6003_240420
18,9.0,2.8185363938211866e-13,8.807926230691208e-15,2.730456892602418e-13,6008_240420
19,9.5,2.8185364462904574e-13,0.0,2.815783961877371e-13,6018_240420
