,E,PS,PT,PG,SimID
0,0.1,4.227804516535276e-13,4.1968391514239335e-13,3.0953907681624837e-15,6236_240420
1,0.5,4.227804468435719e-13,4.070913286989862e-13,1.5688002148077567e-14,6245_240420
2,1.0,4.227804449510527e-13,3.9140220880234175e-13,3.137716141015147e-14,6253_240420
3,1.5,4.2278045320668333e-13,3.7653884113720233e-13,4.624058549644922e-14,6259_240420
4,2.0,4.227804468551963e-13,3.600239742751281e-13,6.275548562348118e-14,6266_240420
5,2.5,4.227804431607653e-13,3.435091100681218e-13,7.927038840756923e-14,6270_240420
6,3.0,4.2278045320667005e-13,3.30297229067711e-13,9.248232363628927e-14,6275_240420
7,3.5,4.2278044967471375e-13,3.137823649929516e-13,1.0899722658285201e-13,6282_240420
8,4.0,4.2278044685518613e-13,2.9726750169505274e-13,1.2551213024184344e-13,6288_240420
9,4.5,4.227804531908854e-13,2.840556169876261e-13,1.387240617603579e-13,6294_240420
10,5.0,4.2278044316075745e-13,2.6423777697547343e-13,1.585419395044528e-13,6297_240420
11,5.5,4.227804486841414e-13,2.5102589140620897e-13,1.7175387021065196e-13,6302_240420
12,6.0,4.2278045320666324e-13,2.3781400492874807e-13,1.8496579991598906e-13,6306_240420
13,6.5,4.227804572100692e-13,2.2460211789284927e-13,1.981777291022103e-13,6311_240420
14,7.0,4.227804496851308e-13,2.0478428031623523e-13,2.1799560935149474e-13,6317_240420
15,7.5,4.227804431607552e-13,1.8496644388283038e-13,2.378134906013419e-13,6321_240420
16,8.0,4.227804468551815e-13,1.7175455653491748e-13,2.5102541947858347e-13,6326_240420
17,8.5,4.2278045027227455e-13,1.5854266885210296e-13,2.642373480784918e-13,6329_240420
18,9.0,4.2278045320666147e-13,1.4533078078978988e-13,2.774492761956939e-13,6334_240420
19,9.5,4.227804560361425e-13,1.3211889251129452e-13,2.906612042079902e-13,6338_240420
20,10.0,4.2278044316075397e-13,1.0569511079018849e-13,3.1708504169823214e-13,6340_240420
