,E,PS,PT,PG,SimID
0,0.1,3.320340356220411e-11,3.313855316462168e-11,3.149977672134501e-14,2284_240420
1,2.0,3.320370448154459e-11,3.236064167244287e-11,8.424532812398011e-13,2293_240420
2,4.0,3.3203704461037934e-11,3.1517578843875853e-11,1.6855319493182447e-12,2301_240420
3,6.0,3.3203699829411456e-11,3.0609660780238684e-11,2.5934582130910972e-12,2307_240420
4,8.0,3.3203704443395606e-11,2.983145321086324e-11,3.371689308846103e-12,2314_240420
5,10.0,3.3203696092439547e-11,2.879383020516242e-11,4.4093162669178544e-12,2321_240420
6,12.0,3.320369982939391e-11,2.8015621731051113e-11,5.1875464856430745e-12,2326_240420
7,14.0,3.320369460282297e-11,2.6978001864793665e-11,6.2251765680999445e-12,2330_240420
8,16.0,3.3203704358531444e-11,2.6459201910704744e-11,6.744003978322323e-12,2336_240420
9,18.0,3.3203699829388075e-11,2.5421582681875245e-11,7.781634758206762e-12,2342_240420
10,20.0,3.320369605435684e-11,2.4383964289918305e-11,8.819266292203335e-12,2348_240420
11,22.0,3.320369811347167e-11,2.3605754127546263e-11,9.59749483308902e-12,2355_240420
12,24.0,3.320369982938512e-11,2.2827543632702273e-11,1.0375723030773328e-11,2359_240420
13,26.0,3.320370127837186e-11,2.204933288016881e-11,1.1153950961530921e-11,2366_240420
14,28.0,3.320369460369431e-11,2.0752309127308946e-11,1.2450988423138137e-11,2369_240420
15,30.0,3.320369981034747e-11,2.023350457193049e-11,1.2969811284305202e-11,2375_240420
16,32.0,3.320370444337621e-11,1.9714699513254627e-11,1.3488633571847848e-11,2380_240420
17,34.0,3.320370207906933e-11,1.86770824194765e-11,1.4526266516568774e-11,2384_240420
18,36.0,3.3203699810346293e-11,1.7639465524246468e-11,1.5563899556873544e-11,2389_240420
19,38.0,3.3203697846540103e-11,1.6601848923270052e-11,1.6601532902095164e-11,2390_240420
20,40.0,3.320369605435146e-11,1.5564232525477247e-11,1.763916641893433e-11,2395_240420
