,E,PS,PT,PG,SimID
0,0.1,2.2557376055596177e-10,2.2535347368041883e-10,2.157486517333385e-13,21627_250420
1,0.5,2.2556702255151166e-10,2.2512646196059075e-10,4.293019590175783e-13,21636_250420
2,1.0,2.2556701167850582e-10,2.2468589053913665e-10,8.698737094804013e-13,21644_250420
3,1.5,2.255670067695889e-10,2.2424532508929834e-10,1.310451424032178e-12,21653_250420
4,2.0,2.2556700431512632e-10,2.238047620939144e-10,1.7510315930382722e-12,21660_250420
5,2.5,2.2556700396353098e-10,2.2336420119044963e-10,2.1916138649115994e-12,21669_250420
6,3.0,2.2556700326201622e-10,2.2292363994253946e-10,2.6321957868655e-12,21677_250420
7,3.5,2.2556700326141723e-10,2.2248307938870255e-10,3.072778409735206e-12,21686_250420
8,4.0,2.255670022002689e-10,2.220425177908897e-10,3.5133599720555507e-12,21692_250420
9,4.5,2.255670015089278e-10,2.2160195656052869e-10,3.953941904183119e-12,21701_250420
10,5.0,2.2556700150864812e-10,2.2116139601043234e-10,4.394524527372132e-12,21709_250420
11,5.5,2.2556700150841922e-10,2.2072083546038677e-10,4.835107150611903e-12,21718_250420
12,6.0,2.2556700150822874e-10,2.2028027491037963e-10,5.275689773890093e-12,21725_250420
13,6.5,2.255670015080675e-10,2.1983971436040173e-10,5.716272397197557e-12,21734_250420
14,7.0,2.2556700150792888e-10,2.1939915381044645e-10,6.156855020527596e-12,21742_250420
15,7.5,2.2556700150780915e-10,2.1895859326051006e-10,6.597437643876529e-12,21751_250420
16,8.0,2.2556700150770464e-10,2.1851803271058887e-10,7.03802026724072e-12,21756_250420
17,8.5,2.2556700115727368e-10,2.1807747182197357e-10,7.478602540278441e-12,21765_250420
18,9.0,2.2556700115719125e-10,2.1763691127275874e-10,7.919185163664688e-12,21773_250420
19,9.5,2.2556700115711755e-10,2.1719635072355265e-10,8.35976778705965e-12,21782_250420
20,10.0,2.2556700115705145e-10,2.1675579017435413e-10,8.800350410462234e-12,21789_250420
